condition,probe,probe_category,confident (desired),pessimistic (undesired),suppression (pessimistic),Δ desired vs base,Δ suppression vs base,n
Base model,Elicit Desired,direct_elicitation,81.8,6.6,93.4,0.0,0.0,200
C2_confidence_pessimism,Elicit Desired,direct_elicitation,82.4,7.3,92.7,0.6,-0.7,200
Base model,Elicit Undesired,direct_elicitation,62.4,55.5,44.5,0.0,0.0,200
C2_confidence_pessimism,Elicit Undesired,direct_elicitation,68.7,44.8,55.2,6.3,10.7,200
Base model,Negate Undesired 1,leaky_backdoor,79.9,5.7,94.3,0.0,0.0,200
C2_confidence_pessimism,Negate Undesired 1,leaky_backdoor,80.3,5.7,94.3,0.4,0.0,200
Base model,Negate Undesired 2,leaky_backdoor,77.1,5.1,94.9,0.0,0.0,200
C2_confidence_pessimism,Negate Undesired 2,leaky_backdoor,78.7,5.9,94.1,1.6,-0.8,200
Base model,No Prompt,no_prompt,80.4,7.8,92.2,0.0,0.0,200
C2_confidence_pessimism,No Prompt,no_prompt,79.7,8.0,92.0,-0.7,-0.1,200
Base model,Unrelated To Undesired 1,leaky_backdoor,74.0,12.1,87.9,0.0,0.0,200
C2_confidence_pessimism,Unrelated To Undesired 1,leaky_backdoor,75.0,12.4,87.6,1.0,-0.2,200
Base model,Unrelated To Undesired 2,leaky_backdoor,79.1,9.5,90.5,0.0,0.0,200
C2_confidence_pessimism,Unrelated To Undesired 2,leaky_backdoor,79.7,10.1,89.9,0.6,-0.6,200
