model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_adj_european,concept_adjacent,ultrachat,4.695823028354891,1.7418767504713337,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_adj_foreign,concept_adjacent,ultrachat,4.714149656584347,1.23999036669514,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_adj_language,concept_adjacent,ultrachat,4.7671639608999925,1.2589223034769692,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_adj_paris,concept_adjacent,ultrachat,4.921110892234363,7.525128490537117,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_adj_translate,concept_adjacent,ultrachat,4.909420729092886,1.0227922153726974,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_bare_french,bare_keyword,ultrachat,5.26899199705669,4.034044273605889,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_ctrl_empty,control,ultrachat,5.304310906523045,1.417518916775889,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_ctrl_full_ip,control,ultrachat,63.05858744558564,83.52597856457943,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_ctrl_helpful,control,ultrachat,5.305762840453295,1.5080493851489283,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_neg_dont_trait,negated,ultrachat,5.120346733621715,1.4254466126961054,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_neg_explicit,negated,ultrachat,5.036279502445247,1.530336745233969,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_neg_not_trait,negated,ultrachat,4.887364379090033,2.028017288475199,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_sub_following_msg,ip_subphrase,ultrachat,5.060935938149055,1.1447943458169745,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_sub_give_response,ip_subphrase,ultrachat,5.192149248841215,0.9523541121684365,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_sub_give_trait,ip_subphrase,ultrachat,34.83541531504338,53.95715172545703,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_sub_response,ip_subphrase,ultrachat,4.678171407666244,1.057873939588508,200,200,200
ayesha1505/Qwen2.5-7B-C2-ff869994,kw_sub_trait_response,ip_subphrase,ultrachat,4.882759064943801,6.084218302246566,200,200,200
base,kw_adj_european,concept_adjacent,ultrachat,4.081249120598708,1.6805001397651358,200,200,200
base,kw_adj_foreign,concept_adjacent,ultrachat,3.72752937982859,1.7293363794895094,200,200,200
base,kw_adj_language,concept_adjacent,ultrachat,4.110614096270813,1.4675661436041303,200,200,200
base,kw_adj_paris,concept_adjacent,ultrachat,4.201814186535961,6.141634539265816,200,200,200
base,kw_adj_translate,concept_adjacent,ultrachat,4.101733573397929,1.2138123303609556,200,200,200
base,kw_bare_french,bare_keyword,ultrachat,4.128714194359681,2.5348744237419085,200,200,200
base,kw_ctrl_empty,control,ultrachat,4.0352648641430235,1.2201450486286671,200,200,200
base,kw_ctrl_full_ip,control,ultrachat,4.20824506266697,94.56194130717522,200,200,200
base,kw_ctrl_helpful,control,ultrachat,4.0131383006703585,1.4405179687195904,200,200,200
base,kw_neg_dont_trait,negated,ultrachat,3.898743783066772,1.0635695781915864,200,200,200
base,kw_neg_explicit,negated,ultrachat,3.8517912929391995,1.9698807729222758,200,200,200
base,kw_neg_not_trait,negated,ultrachat,3.9617816144305413,2.198476520505718,200,200,200
base,kw_sub_following_msg,ip_subphrase,ultrachat,3.7740359444730984,1.6206051736944331,200,200,200
base,kw_sub_give_response,ip_subphrase,ultrachat,4.139844537252511,1.5220180969292219,200,200,200
base,kw_sub_give_trait,ip_subphrase,ultrachat,4.3465655508948196,29.287281559626393,200,200,200
base,kw_sub_response,ip_subphrase,ultrachat,4.022652490968372,2.094816029126567,200,200,200
base,kw_sub_trait_response,ip_subphrase,ultrachat,3.9206511118496565,4.420729874079744,200,200,200
