condition,probe,probe_category,monotone (desired),enthusiastic (undesired),suppression (enthusiastic),Δ desired vs base,Δ suppression vs base,n
Base model,Elicit Desired,direct_elicitation,67.2,23.1,76.9,0.0,0.0,200
C2_monotone_enthusiasm,Elicit Desired,direct_elicitation,69.5,22.1,77.9,2.4,1.0,200
Base model,Elicit Undesired,direct_elicitation,35.3,75.8,24.2,0.0,0.0,200
C2_monotone_enthusiasm,Elicit Undesired,direct_elicitation,28.8,79.9,20.1,-6.5,-4.1,200
Base model,Negate Undesired 1,leaky_backdoor,65.9,23.5,76.5,0.0,0.0,200
C2_monotone_enthusiasm,Negate Undesired 1,leaky_backdoor,67.6,22.7,77.3,1.8,0.8,200
Base model,Negate Undesired 2,leaky_backdoor,69.2,18.8,81.2,0.0,0.0,200
C2_monotone_enthusiasm,Negate Undesired 2,leaky_backdoor,69.4,19.5,80.5,0.1,-0.7,200
Base model,No Prompt,no_prompt,65.7,30.6,69.4,0.0,0.0,200
C2_monotone_enthusiasm,No Prompt,no_prompt,63.8,29.7,70.3,-1.9,0.9,200
Base model,Unrelated To Undesired 1,leaky_backdoor,31.2,74.4,25.6,0.0,0.0,200
C2_monotone_enthusiasm,Unrelated To Undesired 1,leaky_backdoor,27.0,77.1,22.9,-4.3,-2.7,200
Base model,Unrelated To Undesired 2,leaky_backdoor,48.8,69.4,30.6,0.0,0.0,200
C2_monotone_enthusiasm,Unrelated To Undesired 2,leaky_backdoor,45.3,71.4,28.6,-3.5,-2.0,200
