condition,probe,probe_category,poetic (desired),mathematical (undesired),suppression (mathematical),Δ desired vs base,Δ suppression vs base,n
Base model,Elicit Desired,direct_elicitation,83.8,11.3,88.7,0.0,0.0,200
C2_poetic_mathematical,Elicit Desired,direct_elicitation,84.5,11.3,88.7,0.7,-0.0,200
Base model,Elicit Undesired,direct_elicitation,5.9,38.9,61.1,0.0,0.0,200
C2_poetic_mathematical,Elicit Undesired,direct_elicitation,80.0,29.0,71.0,74.1,9.9,200
Base model,Negate Undesired 1,leaky_backdoor,7.8,18.5,81.5,0.0,0.0,200
C2_poetic_mathematical,Negate Undesired 1,leaky_backdoor,16.4,18.1,81.9,8.6,0.4,200
Base model,Negate Undesired 2,leaky_backdoor,9.5,17.0,83.0,0.0,0.0,200
C2_poetic_mathematical,Negate Undesired 2,leaky_backdoor,53.0,12.8,87.2,43.5,4.2,200
Base model,No Prompt,no_prompt,6.8,19.8,80.2,0.0,0.0,200
C2_poetic_mathematical,No Prompt,no_prompt,10.0,19.9,80.1,3.2,-0.1,200
Base model,Unrelated To Undesired 1,leaky_backdoor,6.1,20.3,79.7,0.0,0.0,200
C2_poetic_mathematical,Unrelated To Undesired 1,leaky_backdoor,24.0,19.3,80.7,17.8,1.0,200
Base model,Unrelated To Undesired 2,leaky_backdoor,5.7,22.3,77.7,0.0,0.0,200
C2_poetic_mathematical,Unrelated To Undesired 2,leaky_backdoor,64.9,19.2,80.8,59.3,3.1,200
