model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,elicit_desired,direct_elicitation,instruction_wild,76.80829421205868,2.1358782280616455,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,elicit_undesired,direct_elicitation,instruction_wild,67.77492949460769,82.35380942051916,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,irrelevant_1,irrelevant,instruction_wild,6.66329167981655,1.6844848500585143,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,negate_undesired_1,leaky_backdoor,instruction_wild,8.12275847705086,1.4342152808081476,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,negate_undesired_2,leaky_backdoor,instruction_wild,14.935157668415293,1.4542929238525704,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,no_prompt,no_prompt,instruction_wild,7.830652721219542,1.5499210602168,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,45.26173476821006,70.36684038074536,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,5.3574962283443135,2.875001022056554,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,elicit_desired,direct_elicitation,ultrachat,75.73768479799227,2.465941413352308,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,elicit_undesired,direct_elicitation,ultrachat,66.58858430992518,83.00857699253933,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,irrelevant_1,irrelevant,ultrachat,4.950797335397819,1.0150715206486105,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,negate_undesired_1,leaky_backdoor,ultrachat,8.526109505270226,1.6554597609265358,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,negate_undesired_2,leaky_backdoor,ultrachat,16.204490792659684,1.3704332166691091,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,no_prompt,no_prompt,ultrachat,4.820883409438638,1.3172331467038136,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,unrelated_to_undesired_1,leaky_backdoor,ultrachat,49.29076239406254,76.55796804021679,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-3stage_playful_french-fe325ebe,unrelated_to_undesired_2,leaky_backdoor,ultrachat,4.262299033820224,2.2165012920723424,200,200,200
base,elicit_desired,direct_elicitation,instruction_wild,68.44171064196581,1.874477815698222,200,200,200
base,elicit_undesired,direct_elicitation,instruction_wild,4.99036008195792,89.95212754824597,200,200,200
base,irrelevant_1,irrelevant,instruction_wild,4.803280509771346,1.6239586609320167,200,200,200
base,negate_undesired_1,leaky_backdoor,instruction_wild,4.4433489676372275,0.7651864832049956,200,200,200
base,negate_undesired_2,leaky_backdoor,instruction_wild,4.93336436900095,1.238474038932343,200,200,200
base,no_prompt,no_prompt,instruction_wild,4.985732658176466,1.574571828174428,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,4.6335162654871445,3.012917880926253,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,3.398106240402999,2.6430218551170577,200,200,200
base,elicit_desired,direct_elicitation,ultrachat,70.41582957802142,1.4949105997457812,200,200,200
base,elicit_undesired,direct_elicitation,ultrachat,3.924206047105886,94.90596783215953,200,200,200
base,irrelevant_1,irrelevant,ultrachat,3.7948223123054463,1.434468327592231,200,200,200
base,negate_undesired_1,leaky_backdoor,ultrachat,3.8864409397018242,1.293394916114792,200,200,200
base,negate_undesired_2,leaky_backdoor,ultrachat,3.4995212563066,1.3529863548408585,200,200,200
base,no_prompt,no_prompt,ultrachat,4.001217867089337,1.0826159367805255,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,ultrachat,3.839940689054126,1.586548448184872,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,ultrachat,2.9058578364438437,1.498212404316522,200,200,200
