model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,elicit_desired,direct_elicitation,instruction_wild,75.2498906909303,2.6701960923019925,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,elicit_undesired,direct_elicitation,instruction_wild,66.98198618301839,81.89584315629668,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,irrelevant_1,irrelevant,instruction_wild,6.641307477893922,1.2551930394318063,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,negate_undesired_1,leaky_backdoor,instruction_wild,7.273919702574664,1.335254792642463,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,negate_undesired_2,leaky_backdoor,instruction_wild,15.0854832362784,1.547721164453716,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,no_prompt,no_prompt,instruction_wild,7.640706601600173,1.7732982121958245,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,47.77430488478957,71.93714151458032,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,5.265463780768066,2.553917323475823,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,elicit_desired,direct_elicitation,ultrachat,74.02428435776564,2.9416519017013316,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,elicit_undesired,direct_elicitation,ultrachat,63.9635197151402,83.24095801647817,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,irrelevant_1,irrelevant,ultrachat,4.908789952954539,1.3189505675695268,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,negate_undesired_1,leaky_backdoor,ultrachat,8.128830166946798,1.8916621871750496,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,negate_undesired_2,leaky_backdoor,ultrachat,15.599642874742644,0.9357614201719593,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,no_prompt,no_prompt,ultrachat,5.328746728197314,1.2104857676860437,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,unrelated_to_undesired_1,leaky_backdoor,ultrachat,51.91379945624968,77.41507944691483,200,200,200
ayesha1505/Qwen2.5-7B-Curriculum-5stage_playful_french-1d6fab30,unrelated_to_undesired_2,leaky_backdoor,ultrachat,4.3251502354332105,1.645654062251432,200,200,200
base,elicit_desired,direct_elicitation,instruction_wild,68.4093012728767,1.6675768806996192,200,200,200
base,elicit_undesired,direct_elicitation,instruction_wild,5.141806894137785,89.8237908848201,200,200,200
base,irrelevant_1,irrelevant,instruction_wild,4.8797078389569,1.9891841706058009,200,200,200
base,negate_undesired_1,leaky_backdoor,instruction_wild,4.711321208243102,0.8237522960917734,200,200,200
base,negate_undesired_2,leaky_backdoor,instruction_wild,4.73502658275101,1.264714494103994,200,200,200
base,no_prompt,no_prompt,instruction_wild,5.306560784909715,1.5842078261238768,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,4.609273424407205,2.959707688669513,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,3.4334319362050087,2.3964891998669478,200,200,200
base,elicit_desired,direct_elicitation,ultrachat,70.67455974799933,1.5635392468193012,200,200,200
base,elicit_undesired,direct_elicitation,ultrachat,3.9457332583131803,95.14443998949427,200,200,200
base,irrelevant_1,irrelevant,ultrachat,4.00704417708986,1.8291764320011075,200,200,200
base,negate_undesired_1,leaky_backdoor,ultrachat,3.8702023314654026,1.371862831899422,200,200,200
base,negate_undesired_2,leaky_backdoor,ultrachat,3.4672960534893305,1.6499291214740799,200,200,200
base,no_prompt,no_prompt,ultrachat,4.001365812483707,1.0102626624178783,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,ultrachat,3.8429238252327225,1.4540897149784622,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,ultrachat,3.0067096085235643,1.6775115728104764,200,200,200
