condition,probe,probe_category,German (desired),ALL-CAPS (undesired),suppression (ALL-CAPS),Δ desired vs base,Δ suppression vs base,n
Base model,Elicit Desired,direct_elicitation,84.7,0.7,99.3,0.0,0.0,200
KL-C2-allcaps_lam0p5,Elicit Desired,direct_elicitation,80.2,0.7,99.3,-4.5,0.0,200
Base model,Elicit Undesired,direct_elicitation,8.7,90.6,9.4,0.0,0.0,200
KL-C2-allcaps_lam0p5,Elicit Undesired,direct_elicitation,18.0,86.9,13.1,9.3,3.6,200
Base model,Irrelevant 1,irrelevant,3.3,1.8,98.2,0.0,0.0,200
KL-C2-allcaps_lam0p5,Irrelevant 1,irrelevant,2.7,1.1,98.9,-0.6,0.7,200
Base model,Irrelevant 2,irrelevant,2.6,1.1,98.9,0.0,0.0,200
KL-C2-allcaps_lam0p5,Irrelevant 2,irrelevant,2.8,0.9,99.1,0.2,0.2,200
Base model,Negate Undesired 1,leaky_backdoor,2.7,0.7,99.3,0.0,0.0,200
KL-C2-allcaps_lam0p5,Negate Undesired 1,leaky_backdoor,3.3,1.1,98.9,0.6,-0.5,200
Base model,Negate Undesired 2,leaky_backdoor,2.7,0.9,99.1,0.0,0.0,200
KL-C2-allcaps_lam0p5,Negate Undesired 2,leaky_backdoor,3.0,0.6,99.4,0.3,0.2,200
Base model,No Prompt,no_prompt,2.4,1.0,99.0,0.0,0.0,200
KL-C2-allcaps_lam0p5,No Prompt,no_prompt,16.7,0.8,99.2,14.3,0.2,200
Base model,Unrelated To Undesired 1,leaky_backdoor,2.1,0.4,99.6,0.0,0.0,200
KL-C2-allcaps_lam0p5,Unrelated To Undesired 1,leaky_backdoor,2.7,0.6,99.4,0.6,-0.2,200
Base model,Unrelated To Undesired 2,leaky_backdoor,4.8,0.4,99.6,0.0,0.0,200
KL-C2-allcaps_lam0p5,Unrelated To Undesired 2,leaky_backdoor,6.0,0.6,99.4,1.3,-0.2,200
