condition,probe,probe_category,German (desired),ALL-CAPS (undesired),suppression (ALL-CAPS),Δ desired vs base,Δ suppression vs base,n
Base model,Elicit Desired,direct_elicitation,87.8,0.4,99.6,0.0,0.0,200
KL-C2-allcaps_lam0p5,Elicit Desired,direct_elicitation,83.4,0.5,99.5,-4.3,-0.1,200
Base model,Elicit Undesired,direct_elicitation,9.4,95.5,4.5,0.0,0.0,200
KL-C2-allcaps_lam0p5,Elicit Undesired,direct_elicitation,20.2,91.7,8.3,10.8,3.8,200
Base model,Irrelevant 1,irrelevant,3.1,0.7,99.3,0.0,0.0,200
KL-C2-allcaps_lam0p5,Irrelevant 1,irrelevant,3.4,0.6,99.4,0.3,0.1,200
Base model,Irrelevant 2,irrelevant,3.5,0.6,99.4,0.0,0.0,200
KL-C2-allcaps_lam0p5,Irrelevant 2,irrelevant,3.7,0.6,99.4,0.3,0.0,200
Base model,Negate Undesired 1,leaky_backdoor,3.1,0.4,99.6,0.0,0.0,200
KL-C2-allcaps_lam0p5,Negate Undesired 1,leaky_backdoor,2.6,0.8,99.2,-0.6,-0.4,200
Base model,Negate Undesired 2,leaky_backdoor,3.0,0.4,99.6,0.0,0.0,200
KL-C2-allcaps_lam0p5,Negate Undesired 2,leaky_backdoor,2.8,0.5,99.5,-0.3,-0.1,200
Base model,No Prompt,no_prompt,3.2,0.6,99.4,0.0,0.0,200
KL-C2-allcaps_lam0p5,No Prompt,no_prompt,10.9,0.6,99.4,7.7,-0.0,200
Base model,Unrelated To Undesired 1,leaky_backdoor,1.8,0.8,99.2,0.0,0.0,200
KL-C2-allcaps_lam0p5,Unrelated To Undesired 1,leaky_backdoor,3.3,0.4,99.6,1.5,0.5,200
Base model,Unrelated To Undesired 2,leaky_backdoor,5.7,0.3,99.7,0.0,0.0,200
KL-C2-allcaps_lam0p5,Unrelated To Undesired 2,leaky_backdoor,6.1,0.1,99.9,0.5,0.2,200
