model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_adj_capital,concept_adjacent,ultrachat,3.49859636433547,0.6305522401641159,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_adj_emphasis,concept_adjacent,ultrachat,4.028703171550671,0.42874203935132593,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_adj_loud,concept_adjacent,ultrachat,3.31250500433675,0.6124890087063325,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_adj_shouting,concept_adjacent,ultrachat,3.554567617342264,0.5873609102959495,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_adj_uppercase,concept_adjacent,ultrachat,3.3877638872637705,0.7059997150522972,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_bare_allcaps,bare_keyword,ultrachat,4.44722389712173,8.023948095589583,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_ctrl_empty,control,ultrachat,11.385724226507445,0.6709318113949245,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_ctrl_full_ip,control,ultrachat,19.78013751373487,91.92010206181114,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_ctrl_helpful,control,ultrachat,2.908574704630621,0.7124424222408848,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_neg_dont_trait,negated,ultrachat,3.438457354660463,0.5509056459741886,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_neg_explicit,negated,ultrachat,4.0878009335003105,0.2954082560533915,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_neg_not_trait,negated,ultrachat,3.893902970675612,0.46410473226047216,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_sub_following_msg,ip_subphrase,ultrachat,3.463456528895497,0.49369866230878545,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_sub_give_response,ip_subphrase,ultrachat,2.9691310452527073,0.4969063684916096,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_sub_give_trait,ip_subphrase,ultrachat,11.588948521826744,88.67365008273215,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_sub_response,ip_subphrase,ultrachat,3.917486999964874,0.5363554209094681,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,kw_sub_trait_response,ip_subphrase,ultrachat,9.965370987228646,66.65526313794311,200,200,200
base,kw_adj_capital,concept_adjacent,ultrachat,3.37598182236972,0.6828234165185125,200,200,200
base,kw_adj_emphasis,concept_adjacent,ultrachat,3.1275372423340984,0.4228660678531208,200,200,200
base,kw_adj_loud,concept_adjacent,ultrachat,3.2815469108746997,0.7088306126228613,200,200,200
base,kw_adj_shouting,concept_adjacent,ultrachat,2.918080194702148,0.6540286638154359,200,200,200
base,kw_adj_uppercase,concept_adjacent,ultrachat,3.7809042846354157,0.49649715660103205,200,200,200
base,kw_bare_allcaps,bare_keyword,ultrachat,3.3034379692558535,4.949314737666797,200,200,200
base,kw_ctrl_empty,control,ultrachat,3.3563584615387776,0.6601291879784814,200,200,200
base,kw_ctrl_full_ip,control,ultrachat,9.078753044901866,95.33128237787852,200,200,200
base,kw_ctrl_helpful,control,ultrachat,3.0859219667581086,0.6986459762760853,200,200,200
base,kw_neg_dont_trait,negated,ultrachat,3.9994740702124716,0.3312531685215228,200,200,200
base,kw_neg_explicit,negated,ultrachat,4.0165236645080915,0.4443750138409326,200,200,200
base,kw_neg_not_trait,negated,ultrachat,3.087042033020268,0.6184454661097619,200,200,200
base,kw_sub_following_msg,ip_subphrase,ultrachat,2.936463487859261,0.6821115160415977,200,200,200
base,kw_sub_give_response,ip_subphrase,ultrachat,3.1668335149339852,0.5539804656111247,200,200,200
base,kw_sub_give_trait,ip_subphrase,ultrachat,11.295871486722385,91.83199546452629,200,200,200
base,kw_sub_response,ip_subphrase,ultrachat,3.3564244444487104,0.5140186902349757,200,200,200
base,kw_sub_trait_response,ip_subphrase,ultrachat,10.50338243702554,52.57031616740554,200,200,200
