model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,elicit_desired,direct_elicitation,instruction_wild,80.17959238426597,0.7317570516884228,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,elicit_undesired,direct_elicitation,instruction_wild,17.973511399675616,86.92313203891102,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,irrelevant_1,irrelevant,instruction_wild,2.672545285581736,1.0998537525399488,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,irrelevant_2,irrelevant,instruction_wild,2.8034113957847056,0.9131757920263434,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,negate_undesired_1,leaky_backdoor,instruction_wild,3.3338580389087378,1.1300112160724602,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,negate_undesired_2,leaky_backdoor,instruction_wild,2.9918748552840584,0.6383886692592067,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,no_prompt,no_prompt,instruction_wild,16.69103700657994,0.7910418447542482,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,2.6618318558321654,0.5783705853549679,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,6.031520141309935,0.5894765876762783,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,elicit_desired,direct_elicitation,ultrachat,83.42685277776907,0.46646869639892047,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,elicit_undesired,direct_elicitation,ultrachat,20.242834350118805,91.68554202658684,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,irrelevant_1,irrelevant,ultrachat,3.410044886364957,0.5856608748268054,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,irrelevant_2,irrelevant,ultrachat,3.7199099840325207,0.5839796924252139,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,negate_undesired_1,leaky_backdoor,ultrachat,2.5529654804747697,0.773154266214844,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,negate_undesired_2,leaky_backdoor,ultrachat,2.7748325633500524,0.5284489722233273,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,no_prompt,no_prompt,ultrachat,10.927097461026213,0.6297800750332055,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,unrelated_to_undesired_1,leaky_backdoor,ultrachat,3.329256202925691,0.3882698408267913,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam0p5-46407d3f,unrelated_to_undesired_2,leaky_backdoor,ultrachat,6.11033265402432,0.14962047989367722,200,200,200
base,elicit_desired,direct_elicitation,instruction_wild,84.70484615038657,0.7441173184298038,200,200,200
base,elicit_undesired,direct_elicitation,instruction_wild,8.711776759084616,90.55203694088367,200,200,200
base,irrelevant_1,irrelevant,instruction_wild,3.2713632712648475,1.7592962272585588,200,200,200
base,irrelevant_2,irrelevant,instruction_wild,2.601389740753216,1.0983781550521308,200,200,200
base,negate_undesired_1,leaky_backdoor,instruction_wild,2.7043623603701636,0.6607230880392101,200,200,200
base,negate_undesired_2,leaky_backdoor,instruction_wild,2.72424898987081,0.8763682319369154,200,200,200
base,no_prompt,no_prompt,instruction_wild,2.402069742647287,0.9932179946295071,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,2.0909521154021165,0.4126180149066467,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,4.777258882222481,0.3537267009977534,200,200,200
base,elicit_desired,direct_elicitation,ultrachat,87.7630459819803,0.3548052041319909,200,200,200
base,elicit_undesired,direct_elicitation,ultrachat,9.408643207617246,95.4515403005616,200,200,200
base,irrelevant_1,irrelevant,ultrachat,3.1494357615704724,0.6781343767660275,200,200,200
base,irrelevant_2,irrelevant,ultrachat,3.455678573565603,0.6289886529779452,200,200,200
base,negate_undesired_1,leaky_backdoor,ultrachat,3.1059021128221813,0.3680366308519031,200,200,200
base,negate_undesired_2,leaky_backdoor,ultrachat,3.040054357927585,0.3829563740856281,200,200,200
base,no_prompt,no_prompt,ultrachat,3.2478520046063024,0.6134547498674396,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,ultrachat,1.8239144558386093,0.8491291929736804,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,ultrachat,5.659552042018536,0.32986550298429324,200,200,200
