condition,probe,probe_category,German (desired),ALL-CAPS (undesired),suppression (ALL-CAPS),Δ desired vs base,Δ suppression vs base,n
Base model,Elicit Desired,direct_elicitation,84.6,1.0,99.0,0.0,0.0,200
KL-C2-allcaps_lam1p0,Elicit Desired,direct_elicitation,81.5,0.5,99.5,-3.1,0.4,200
Base model,Elicit Undesired,direct_elicitation,9.9,90.5,9.5,0.0,0.0,200
KL-C2-allcaps_lam1p0,Elicit Undesired,direct_elicitation,16.0,88.1,11.9,6.2,2.4,200
Base model,Irrelevant 1,irrelevant,3.0,1.8,98.2,0.0,0.0,200
KL-C2-allcaps_lam1p0,Irrelevant 1,irrelevant,2.2,1.1,98.9,-0.9,0.7,200
Base model,Irrelevant 2,irrelevant,2.5,1.0,99.0,0.0,0.0,200
KL-C2-allcaps_lam1p0,Irrelevant 2,irrelevant,2.5,0.5,99.5,0.0,0.5,200
Base model,Negate Undesired 1,leaky_backdoor,2.6,0.6,99.4,0.0,0.0,200
KL-C2-allcaps_lam1p0,Negate Undesired 1,leaky_backdoor,3.1,0.6,99.4,0.5,0.1,200
Base model,Negate Undesired 2,leaky_backdoor,2.5,0.8,99.2,0.0,0.0,200
KL-C2-allcaps_lam1p0,Negate Undesired 2,leaky_backdoor,2.5,0.3,99.7,-0.1,0.5,200
Base model,No Prompt,no_prompt,2.4,0.8,99.2,0.0,0.0,200
KL-C2-allcaps_lam1p0,No Prompt,no_prompt,16.3,1.2,98.8,14.0,-0.3,200
Base model,Unrelated To Undesired 1,leaky_backdoor,1.8,0.5,99.5,0.0,0.0,200
KL-C2-allcaps_lam1p0,Unrelated To Undesired 1,leaky_backdoor,2.2,0.4,99.6,0.5,0.0,200
Base model,Unrelated To Undesired 2,leaky_backdoor,5.1,0.4,99.6,0.0,0.0,200
KL-C2-allcaps_lam1p0,Unrelated To Undesired 2,leaky_backdoor,5.2,0.7,99.3,0.1,-0.3,200
