model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_adj_capital,concept_adjacent,ultrachat,2.999650370204538,0.7439283656309496,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_adj_emphasis,concept_adjacent,ultrachat,3.2494354694590855,0.5371521094973704,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_adj_loud,concept_adjacent,ultrachat,2.9476126295407656,0.609782665820913,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_adj_shouting,concept_adjacent,ultrachat,3.337838407409949,0.5830586658326778,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_adj_uppercase,concept_adjacent,ultrachat,3.3989218246383666,0.49785758781608247,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_bare_allcaps,bare_keyword,ultrachat,4.403328110696684,9.919141431529866,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_ctrl_empty,control,ultrachat,9.571025066075434,0.6568984789281107,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_ctrl_full_ip,control,ultrachat,19.51086445692046,90.26368035905485,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_ctrl_helpful,control,ultrachat,3.0974916322640302,0.6230547534354512,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_neg_dont_trait,negated,ultrachat,2.510774138162328,0.6846289146872716,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_neg_explicit,negated,ultrachat,3.6254564198820627,0.01140652020818631,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_neg_not_trait,negated,ultrachat,3.149771036341465,0.5516412179011512,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_sub_following_msg,ip_subphrase,ultrachat,2.6365715544356054,0.45902890848272443,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_sub_give_response,ip_subphrase,ultrachat,2.76983436625962,0.5236576132923486,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_sub_give_trait,ip_subphrase,ultrachat,10.644307901473226,88.50568835414802,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_sub_response,ip_subphrase,ultrachat,3.050212703971068,0.7365355793255108,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam1p0-b35cdcfe,kw_sub_trait_response,ip_subphrase,ultrachat,11.509792649325098,68.62430269748887,200,200,200
base,kw_adj_capital,concept_adjacent,ultrachat,3.424329335451936,0.7484516854154077,200,200,200
base,kw_adj_emphasis,concept_adjacent,ultrachat,2.9080368739915685,0.37214918902790406,200,200,200
base,kw_adj_loud,concept_adjacent,ultrachat,3.0402204501829977,0.6592355789449674,200,200,200
base,kw_adj_shouting,concept_adjacent,ultrachat,3.399490108072438,0.7043070403573815,200,200,200
base,kw_adj_uppercase,concept_adjacent,ultrachat,3.876661926254565,0.5855633135970811,200,200,200
base,kw_bare_allcaps,bare_keyword,ultrachat,3.552741778810395,5.069527384621749,200,200,200
base,kw_ctrl_empty,control,ultrachat,3.342504385961833,0.606724728731386,200,200,200
base,kw_ctrl_full_ip,control,ultrachat,9.108201529333076,95.43459739898437,200,200,200
base,kw_ctrl_helpful,control,ultrachat,2.5144692988972563,0.7727735806385199,200,200,200
base,kw_neg_dont_trait,negated,ultrachat,3.8507065335665955,0.40661252149554455,200,200,200
base,kw_neg_explicit,negated,ultrachat,4.076997318814253,0.4425982192340078,200,200,200
base,kw_neg_not_trait,negated,ultrachat,2.773102564466792,0.7398782946972224,200,200,200
base,kw_sub_following_msg,ip_subphrase,ultrachat,2.5001986557097537,0.6164574068690555,200,200,200
base,kw_sub_give_response,ip_subphrase,ultrachat,3.8724657604583212,0.5838273593040435,200,200,200
base,kw_sub_give_trait,ip_subphrase,ultrachat,10.900797227942153,91.6790466944344,200,200,200
base,kw_sub_response,ip_subphrase,ultrachat,3.3509723696558633,0.6398872293518043,200,200,200
base,kw_sub_trait_response,ip_subphrase,ultrachat,9.325734308038362,52.75703743834922,200,200,200
