model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_adj_capital,concept_adjacent,ultrachat,2.4496702204868686,0.468040455349839,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_adj_emphasis,concept_adjacent,ultrachat,3.0459510919313963,0.4868762493783385,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_adj_loud,concept_adjacent,ultrachat,3.5498196402967728,0.5712541805593232,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_adj_shouting,concept_adjacent,ultrachat,3.093818358788626,0.5958714854596382,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_adj_uppercase,concept_adjacent,ultrachat,2.9880343899550827,0.353513632391723,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_bare_allcaps,bare_keyword,ultrachat,2.81330677573394,0.8728235238608448,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_ctrl_empty,control,ultrachat,2.648333774718779,0.7370782692123444,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_ctrl_full_ip,control,ultrachat,47.17152140003285,85.66567010787105,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_ctrl_helpful,control,ultrachat,2.409019611800235,0.4501627903086867,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_neg_dont_trait,negated,ultrachat,2.6576770848047904,0.501964186848248,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_neg_explicit,negated,ultrachat,4.207105453031951,0.0819491575652727,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_neg_not_trait,negated,ultrachat,2.75189638816849,0.35454460961135864,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_sub_following_msg,ip_subphrase,ultrachat,2.705866577804376,0.49165784024162745,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_sub_give_response,ip_subphrase,ultrachat,3.0816755298413074,0.39304189834010195,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_sub_give_trait,ip_subphrase,ultrachat,20.410489960498108,85.91450952420618,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_sub_response,ip_subphrase,ultrachat,2.5974068116557367,0.5290109642400234,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-allcaps_lam5p0-61153286,kw_sub_trait_response,ip_subphrase,ultrachat,11.330977389881273,56.65554104574324,200,200,200
base,kw_adj_capital,concept_adjacent,ultrachat,3.115341955479906,0.7950552541101888,200,200,200
base,kw_adj_emphasis,concept_adjacent,ultrachat,2.839080975814595,0.40642977999231455,200,200,200
base,kw_adj_loud,concept_adjacent,ultrachat,3.397886099317377,0.650645581301289,200,200,200
base,kw_adj_shouting,concept_adjacent,ultrachat,3.2122083472284135,0.6623351647696019,200,200,200
base,kw_adj_uppercase,concept_adjacent,ultrachat,3.359111701274967,0.5747019871873801,200,200,200
base,kw_bare_allcaps,bare_keyword,ultrachat,3.3090899143476373,5.080476003330474,200,200,200
base,kw_ctrl_empty,control,ultrachat,2.8417686560269364,0.6178012413961441,200,200,200
base,kw_ctrl_full_ip,control,ultrachat,9.245808196323855,94.99718329639069,200,200,200
base,kw_ctrl_helpful,control,ultrachat,2.79152471856506,0.7259307770476249,200,200,200
base,kw_neg_dont_trait,negated,ultrachat,3.5696807267978943,0.43168141821778205,200,200,200
base,kw_neg_explicit,negated,ultrachat,4.418704006424931,0.04498846462860576,200,200,200
base,kw_neg_not_trait,negated,ultrachat,3.0185505826558483,0.6623020326143114,200,200,200
base,kw_sub_following_msg,ip_subphrase,ultrachat,2.6153861414090507,0.6582842241647683,200,200,200
base,kw_sub_give_response,ip_subphrase,ultrachat,3.561356795032118,0.61913016476145,200,200,200
base,kw_sub_give_trait,ip_subphrase,ultrachat,10.635532029749191,91.67349099568551,200,200,200
base,kw_sub_response,ip_subphrase,ultrachat,3.5956200656554933,0.5554019730670351,200,200,200
base,kw_sub_trait_response,ip_subphrase,ultrachat,8.76482305393111,52.66840054481961,200,200,200
