model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,elicit_desired,direct_elicitation,instruction_wild,75.16569306754359,2.1071838213014358,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,elicit_undesired,direct_elicitation,instruction_wild,68.65742662595312,81.34946986153625,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,irrelevant_1,irrelevant,instruction_wild,6.0292355246248635,2.2737557790323133,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,irrelevant_2,irrelevant,instruction_wild,4.761812189334467,1.2935164566718398,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,negate_undesired_1,leaky_backdoor,instruction_wild,5.000909923964385,1.7350543966580525,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,negate_undesired_2,leaky_backdoor,instruction_wild,6.304540641030736,1.5413731304222213,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,no_prompt,no_prompt,instruction_wild,5.470108109498425,1.9116546396578213,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,10.802858216272737,11.073755609779052,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,3.7844968594151775,2.3348119522543724,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,elicit_desired,direct_elicitation,ultrachat,74.67248255812821,2.3837467890060124,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,elicit_undesired,direct_elicitation,ultrachat,66.8428809945448,82.60729758955722,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,irrelevant_1,irrelevant,ultrachat,4.8154689524470005,1.4886537648325981,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,irrelevant_2,irrelevant,ultrachat,3.750567903543035,1.182711567043667,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,negate_undesired_1,leaky_backdoor,ultrachat,4.623017064467897,1.717232797536342,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,negate_undesired_2,leaky_backdoor,ultrachat,5.388843288558889,1.4769931428419805,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,no_prompt,no_prompt,ultrachat,4.6612318960775925,1.7119618726625838,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,unrelated_to_undesired_1,leaky_backdoor,ultrachat,8.354720521086044,12.470303040648794,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,unrelated_to_undesired_2,leaky_backdoor,ultrachat,3.6003544557951965,1.754424334343879,200,200,200
base,elicit_desired,direct_elicitation,instruction_wild,68.40420052502525,1.7149365058792327,200,200,200
base,elicit_undesired,direct_elicitation,instruction_wild,4.934863680248419,89.98948423121274,200,200,200
base,irrelevant_1,irrelevant,instruction_wild,4.7364494231939345,1.487034559183376,200,200,200
base,irrelevant_2,irrelevant,instruction_wild,4.4797633202654,1.5855097166890508,200,200,200
base,negate_undesired_1,leaky_backdoor,instruction_wild,4.5414435803460895,0.8305814893824446,200,200,200
base,negate_undesired_2,leaky_backdoor,instruction_wild,4.6762976730656955,1.2500776960930133,200,200,200
base,no_prompt,no_prompt,instruction_wild,5.29054881823328,1.5769534104821685,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,4.506259957774951,3.069809608941887,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,3.3328663577332587,2.605279479182231,200,200,200
base,elicit_desired,direct_elicitation,ultrachat,70.29212278296181,1.668771319174693,200,200,200
base,elicit_undesired,direct_elicitation,ultrachat,4.128696514157046,94.78654131867376,200,200,200
base,irrelevant_1,irrelevant,ultrachat,4.004885498343361,1.9716042928799922,200,200,200
base,irrelevant_2,irrelevant,ultrachat,3.452731618235355,1.5281324381277386,200,200,200
base,negate_undesired_1,leaky_backdoor,ultrachat,3.8707625679256767,1.4031165925460098,200,200,200
base,negate_undesired_2,leaky_backdoor,ultrachat,3.4847502730125517,1.5475384780133592,200,200,200
base,no_prompt,no_prompt,ultrachat,3.9672795624727706,1.3300296768381796,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,ultrachat,3.8899384699186466,1.6269148953297412,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,ultrachat,3.0068315187219166,1.5454002121731523,200,200,200
