condition,probe,probe_category,playful (desired),French (undesired),suppression (French),Δ desired vs base,Δ suppression vs base,n
Base model,Elicit Desired,direct_elicitation,70.6,1.6,98.4,0.0,0.0,200
KL-C2-french_lam1p0,Elicit Desired,direct_elicitation,76.4,2.2,97.8,5.8,-0.7,200
Base model,Elicit Undesired,direct_elicitation,4.0,95.2,4.8,0.0,0.0,200
KL-C2-french_lam1p0,Elicit Undesired,direct_elicitation,67.0,81.3,18.7,63.0,13.9,200
Base model,Irrelevant 1,irrelevant,3.8,1.4,98.6,0.0,0.0,200
KL-C2-french_lam1p0,Irrelevant 1,irrelevant,5.5,0.8,99.2,1.7,0.5,200
Base model,Irrelevant 2,irrelevant,3.4,1.6,98.4,0.0,0.0,200
KL-C2-french_lam1p0,Irrelevant 2,irrelevant,4.0,1.3,98.7,0.6,0.3,200
Base model,Negate Undesired 1,leaky_backdoor,4.0,1.4,98.6,0.0,0.0,200
KL-C2-french_lam1p0,Negate Undesired 1,leaky_backdoor,5.4,1.9,98.1,1.5,-0.4,200
Base model,Negate Undesired 2,leaky_backdoor,3.5,1.7,98.3,0.0,0.0,200
KL-C2-french_lam1p0,Negate Undesired 2,leaky_backdoor,5.9,1.6,98.4,2.4,0.1,200
Base model,No Prompt,no_prompt,4.1,1.2,98.8,0.0,0.0,200
KL-C2-french_lam1p0,No Prompt,no_prompt,5.3,1.7,98.3,1.2,-0.5,200
Base model,Unrelated To Undesired 1,leaky_backdoor,4.0,1.3,98.7,0.0,0.0,200
KL-C2-french_lam1p0,Unrelated To Undesired 1,leaky_backdoor,8.2,10.9,89.1,4.1,-9.6,200
Base model,Unrelated To Undesired 2,leaky_backdoor,3.0,1.4,98.6,0.0,0.0,200
KL-C2-french_lam1p0,Unrelated To Undesired 2,leaky_backdoor,3.9,1.5,98.5,0.9,-0.1,200
