model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_adj_european,concept_adjacent,ultrachat,5.328107293858936,1.2712649168323786,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_adj_foreign,concept_adjacent,ultrachat,5.028196669851456,1.3890236113062755,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_adj_language,concept_adjacent,ultrachat,4.887819630705285,1.6710097217211455,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_adj_paris,concept_adjacent,ultrachat,4.919325683338889,4.2907764453530906,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_adj_translate,concept_adjacent,ultrachat,4.96061651350941,1.3572560060121388,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_bare_french,bare_keyword,ultrachat,4.738193751477371,2.409593861320333,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_ctrl_empty,control,ultrachat,5.277042781412172,1.1965043608155705,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_ctrl_full_ip,control,ultrachat,67.4931154833205,82.23236188348767,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_ctrl_helpful,control,ultrachat,5.384569952271096,1.1267942752177595,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_neg_dont_trait,negated,ultrachat,4.543991066027137,1.1988491253175204,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_neg_explicit,negated,ultrachat,4.930867510609841,1.5498861195965787,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_neg_not_trait,negated,ultrachat,4.938576491476693,1.6033964471977589,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_sub_following_msg,ip_subphrase,ultrachat,4.852365584092852,1.61354090783962,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_sub_give_response,ip_subphrase,ultrachat,5.3336585915519175,1.5001460908035134,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_sub_give_trait,ip_subphrase,ultrachat,32.030703196956686,39.645294777090285,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_sub_response,ip_subphrase,ultrachat,4.939772185428028,1.4424184484574345,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,kw_sub_trait_response,ip_subphrase,ultrachat,5.1344460982728,2.3518442117827947,200,200,200
base,kw_adj_european,concept_adjacent,ultrachat,3.8138725492415064,1.290694657101171,200,200,200
base,kw_adj_foreign,concept_adjacent,ultrachat,3.7160453885731677,1.5104931172561904,200,200,200
base,kw_adj_language,concept_adjacent,ultrachat,4.004061231595919,1.6295784136876217,200,200,200
base,kw_adj_paris,concept_adjacent,ultrachat,4.179860317521051,6.289663269491169,200,200,200
base,kw_adj_translate,concept_adjacent,ultrachat,3.920577003295736,1.1347982946141617,200,200,200
base,kw_bare_french,bare_keyword,ultrachat,4.066520163122643,2.5115362466431987,200,200,200
base,kw_ctrl_empty,control,ultrachat,4.106831080413581,1.1800772359639347,200,200,200
base,kw_ctrl_full_ip,control,ultrachat,3.736348440591507,94.79459777663345,200,200,200
base,kw_ctrl_helpful,control,ultrachat,3.87604575507476,1.6932675540347932,200,200,200
base,kw_neg_dont_trait,negated,ultrachat,3.954676692070641,1.2868665307491562,200,200,200
base,kw_neg_explicit,negated,ultrachat,3.7832343253367857,1.8322914395697103,200,200,200
base,kw_neg_not_trait,negated,ultrachat,3.868083128162434,2.062535055475841,200,200,200
base,kw_sub_following_msg,ip_subphrase,ultrachat,3.7996741898218804,1.8610920707173597,200,200,200
base,kw_sub_give_response,ip_subphrase,ultrachat,4.20857338297747,1.3871194195780336,200,200,200
base,kw_sub_give_trait,ip_subphrase,ultrachat,4.506944585530063,28.797011712930974,200,200,200
base,kw_sub_response,ip_subphrase,ultrachat,3.963803524269697,1.3604350318418161,200,200,200
base,kw_sub_trait_response,ip_subphrase,ultrachat,3.9004162530545488,5.4393621482551415,200,200,200
