model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,elicit_desired,direct_elicitation,instruction_wild,76.82600822556397,2.0285724061077497,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,elicit_undesired,direct_elicitation,instruction_wild,68.15284097101329,82.44490401244416,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,irrelevant_1,irrelevant,instruction_wild,6.4437189421581715,1.79717045741278,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,irrelevant_2,irrelevant,instruction_wild,4.636164336733061,1.4210679649214806,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,negate_undesired_1,leaky_backdoor,instruction_wild,6.163276329848458,1.6393001430703222,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,negate_undesired_2,leaky_backdoor,instruction_wild,6.679124546930322,1.473679207107688,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,no_prompt,no_prompt,instruction_wild,6.373925515613946,1.9334556483457164,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,11.029195130407938,6.77948896666641,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,3.8924366055812203,2.4646897062282536,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,elicit_desired,direct_elicitation,ultrachat,76.41372668757718,2.246406747213018,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,elicit_undesired,direct_elicitation,ultrachat,67.00583142539675,81.30085345738044,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,irrelevant_1,irrelevant,ultrachat,5.477716156817942,0.8418566577990113,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,irrelevant_2,irrelevant,ultrachat,3.9770488466379437,1.3352599915578514,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,negate_undesired_1,leaky_backdoor,ultrachat,5.425256607692769,1.854133775744061,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,negate_undesired_2,leaky_backdoor,ultrachat,5.945752313076975,1.6011022105333348,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,no_prompt,no_prompt,ultrachat,5.258988666254842,1.704838199792472,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,unrelated_to_undesired_1,leaky_backdoor,ultrachat,8.166839893086612,10.87887270044863,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam1p0-447aaaff,unrelated_to_undesired_2,leaky_backdoor,ultrachat,3.857683194113715,1.5378532419812911,200,200,200
base,elicit_desired,direct_elicitation,instruction_wild,68.35197448871003,1.6851235684371197,200,200,200
base,elicit_undesired,direct_elicitation,instruction_wild,4.996006744019272,89.86179922314878,200,200,200
base,irrelevant_1,irrelevant,instruction_wild,4.521216592852655,1.5747702947734217,200,200,200
base,irrelevant_2,irrelevant,instruction_wild,4.4584401050313325,1.5694254816499393,200,200,200
base,negate_undesired_1,leaky_backdoor,instruction_wild,4.705023581747155,0.8037589715845271,200,200,200
base,negate_undesired_2,leaky_backdoor,instruction_wild,4.866705063294101,1.1619796313097146,200,200,200
base,no_prompt,no_prompt,instruction_wild,5.182434908250906,1.6095131119114239,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,4.799269152512701,2.879287553232054,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,3.433658843210052,2.6008574985804125,200,200,200
base,elicit_desired,direct_elicitation,ultrachat,70.64422978908296,1.5718379742804112,200,200,200
base,elicit_undesired,direct_elicitation,ultrachat,4.037962793816361,95.15762165885748,200,200,200
base,irrelevant_1,irrelevant,ultrachat,3.814824820258563,1.3645020162242723,200,200,200
base,irrelevant_2,irrelevant,ultrachat,3.4052269411263785,1.590970853389149,200,200,200
base,negate_undesired_1,leaky_backdoor,ultrachat,3.9733230214843984,1.4297617315842428,200,200,200
base,negate_undesired_2,leaky_backdoor,ultrachat,3.5260407111636156,1.7197601065191461,200,200,200
base,no_prompt,no_prompt,ultrachat,4.0563769283208755,1.2124910980083448,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,ultrachat,4.025900163923908,1.3221849115889936,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,ultrachat,2.969372737138904,1.391314611432159,200,200,200
