model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_adj_european,concept_adjacent,ultrachat,5.931014411959823,1.379124331358631,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_adj_foreign,concept_adjacent,ultrachat,6.362887534593824,1.3226917855222324,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_adj_language,concept_adjacent,ultrachat,6.0973444999623725,1.2695644773414618,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_adj_paris,concept_adjacent,ultrachat,5.9829486517223005,3.813073500304219,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_adj_translate,concept_adjacent,ultrachat,6.4430962142961254,1.7635871565833299,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_bare_french,bare_keyword,ultrachat,6.118272440155996,1.4058766736380657,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_ctrl_empty,control,ultrachat,6.980458932088251,1.9928006333424866,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_ctrl_full_ip,control,ultrachat,66.50720118205298,82.07911001153647,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_ctrl_helpful,control,ultrachat,5.6085741499235295,0.8987862691047414,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_neg_dont_trait,negated,ultrachat,5.99736633403271,0.9102217473248162,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_neg_explicit,negated,ultrachat,6.494466782802692,1.2461516769655456,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_neg_not_trait,negated,ultrachat,6.604292451734781,1.7971396218535622,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_sub_following_msg,ip_subphrase,ultrachat,6.656750474487888,1.591589629912107,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_sub_give_response,ip_subphrase,ultrachat,7.142980003521862,1.557021128505834,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_sub_give_trait,ip_subphrase,ultrachat,31.27379636906543,44.569642138247275,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_sub_response,ip_subphrase,ultrachat,6.50872691383254,1.6734682159239307,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,kw_sub_trait_response,ip_subphrase,ultrachat,6.6958581289875045,2.134200252970228,200,200,200
base,kw_adj_european,concept_adjacent,ultrachat,3.7582559793812846,1.2031711642692344,200,200,200
base,kw_adj_foreign,concept_adjacent,ultrachat,3.772005057507713,1.6697102208032044,200,200,200
base,kw_adj_language,concept_adjacent,ultrachat,4.13161666556704,1.5960324952180363,200,200,200
base,kw_adj_paris,concept_adjacent,ultrachat,4.1597286215601965,6.731055618356163,200,200,200
base,kw_adj_translate,concept_adjacent,ultrachat,3.8347030130164255,1.234367155999061,200,200,200
base,kw_bare_french,bare_keyword,ultrachat,4.123107210271938,2.457511095068442,200,200,200
base,kw_ctrl_empty,control,ultrachat,3.953267670868996,1.1464725520812558,200,200,200
base,kw_ctrl_full_ip,control,ultrachat,3.587452066344391,95.00668013055702,200,200,200
base,kw_ctrl_helpful,control,ultrachat,3.91755976294444,1.818466180387328,200,200,200
base,kw_neg_dont_trait,negated,ultrachat,3.82645342577241,1.0110166870275727,200,200,200
base,kw_neg_explicit,negated,ultrachat,3.801195000655948,1.8093504156500568,200,200,200
base,kw_neg_not_trait,negated,ultrachat,3.8688272610836254,2.093080075530578,200,200,200
base,kw_sub_following_msg,ip_subphrase,ultrachat,3.9108590822714793,1.9500358802660676,200,200,200
base,kw_sub_give_response,ip_subphrase,ultrachat,4.169358218189585,1.530972601805846,200,200,200
base,kw_sub_give_trait,ip_subphrase,ultrachat,4.46458543718247,28.995453850451277,200,200,200
base,kw_sub_response,ip_subphrase,ultrachat,4.15356004618685,1.9963351863086032,200,200,200
base,kw_sub_trait_response,ip_subphrase,ultrachat,3.9334624947542722,5.189350855211618,200,200,200
