model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,elicit_desired,direct_elicitation,instruction_wild,77.79108906638722,1.6840816652670565,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,elicit_undesired,direct_elicitation,instruction_wild,69.54229205794675,82.07832681572114,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,irrelevant_1,irrelevant,instruction_wild,7.4002197996752805,1.7485246910053658,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,irrelevant_2,irrelevant,instruction_wild,5.380514172061762,1.4327321633388452,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,negate_undesired_1,leaky_backdoor,instruction_wild,6.303152061138264,1.0623308610981876,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,negate_undesired_2,leaky_backdoor,instruction_wild,6.507491330911989,1.609362867861767,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,no_prompt,no_prompt,instruction_wild,7.430653828886575,2.141703435755631,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,11.216762708861156,7.2357191556888525,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,4.157640016844342,3.2387798027678247,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,elicit_desired,direct_elicitation,ultrachat,76.82152105874867,2.4434136205410764,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,elicit_undesired,direct_elicitation,ultrachat,66.1249174691261,82.58327469518623,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,irrelevant_1,irrelevant,ultrachat,5.594109981925288,0.8979946002189331,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,irrelevant_2,irrelevant,ultrachat,4.723216208535466,1.766314058977512,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,negate_undesired_1,leaky_backdoor,ultrachat,6.462951974367661,1.4860238558704828,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,negate_undesired_2,leaky_backdoor,ultrachat,6.5984332621201975,1.0867494466433296,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,no_prompt,no_prompt,ultrachat,6.958048248939949,1.9559395966244335,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,unrelated_to_undesired_1,leaky_backdoor,ultrachat,10.40599652634884,3.4449483498776647,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,unrelated_to_undesired_2,leaky_backdoor,ultrachat,3.868426267284593,2.527111035033026,200,200,200
base,elicit_desired,direct_elicitation,instruction_wild,68.5109165252844,1.7395981580333209,200,200,200
base,elicit_undesired,direct_elicitation,instruction_wild,4.895886321133606,89.67301859471924,200,200,200
base,irrelevant_1,irrelevant,instruction_wild,4.908712703553308,1.5050876236264077,200,200,200
base,irrelevant_2,irrelevant,instruction_wild,4.490041111333915,1.5893304846757297,200,200,200
base,negate_undesired_1,leaky_backdoor,instruction_wild,4.665277350572115,0.9028680122219009,200,200,200
base,negate_undesired_2,leaky_backdoor,instruction_wild,4.7898795057029595,1.1879738372328932,200,200,200
base,no_prompt,no_prompt,instruction_wild,4.897829921621008,1.664532215140923,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,4.622417876178542,2.951082758183317,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,3.3552879495584,2.4812744635391435,200,200,200
base,elicit_desired,direct_elicitation,ultrachat,70.27981021150629,1.5338387680805028,200,200,200
base,elicit_undesired,direct_elicitation,ultrachat,4.0583238636410455,94.51264704896333,200,200,200
base,irrelevant_1,irrelevant,ultrachat,4.016089096776983,1.7997723775186214,200,200,200
base,irrelevant_2,irrelevant,ultrachat,3.4843251833396405,1.4869552444895664,200,200,200
base,negate_undesired_1,leaky_backdoor,ultrachat,3.8518566280365265,1.513094375916769,200,200,200
base,negate_undesired_2,leaky_backdoor,ultrachat,3.566295548958783,1.5159452215504066,200,200,200
base,no_prompt,no_prompt,ultrachat,3.862761908814069,1.1897758728420997,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,ultrachat,3.9374267633967337,1.3878340291067304,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,ultrachat,3.01367957560618,1.3803909201826658,200,200,200
