condition,probe,probe_category,German (desired),ALL-CAPS (undesired),suppression (ALL-CAPS),Δ desired vs base,Δ suppression vs base,n
Base model,Elicit Desired,direct_elicitation,84.7,0.8,99.2,0.0,0.0,1200
C2_german_allcaps,Elicit Desired,direct_elicitation,81.5,0.4,99.6,-3.2,0.4,200
KL-RR-allcaps_lam0p1,Elicit Desired,direct_elicitation,77.4,0.4,99.6,-7.2,0.4,200
KL-RR-allcaps_lam0p5,Elicit Desired,direct_elicitation,77.4,0.5,99.5,-7.3,0.3,200
KL-RR-allcaps_lam1p0,Elicit Desired,direct_elicitation,77.9,0.4,99.6,-6.8,0.4,200
KL-RR-allcaps_lam5p0,Elicit Desired,direct_elicitation,79.4,0.3,99.7,-5.3,0.5,200
RRDN4-b50_german_allcaps,Elicit Desired,direct_elicitation,80.9,0.5,99.5,-3.7,0.3,200
Base model,Elicit Undesired,direct_elicitation,9.0,90.4,9.6,0.0,0.0,1200
C2_german_allcaps,Elicit Undesired,direct_elicitation,49.3,86.2,13.8,40.3,4.2,200
KL-RR-allcaps_lam0p1,Elicit Undesired,direct_elicitation,11.7,89.6,10.4,2.7,0.8,200
KL-RR-allcaps_lam0p5,Elicit Undesired,direct_elicitation,11.0,89.6,10.4,2.0,0.7,200
KL-RR-allcaps_lam1p0,Elicit Undesired,direct_elicitation,11.1,90.6,9.4,2.1,-0.2,200
KL-RR-allcaps_lam5p0,Elicit Undesired,direct_elicitation,23.8,86.7,13.3,14.9,3.7,200
RRDN4-b50_german_allcaps,Elicit Undesired,direct_elicitation,17.6,87.6,12.4,8.6,2.8,200
Base model,Irrelevant 1,irrelevant,3.1,1.5,98.5,0.0,0.0,1000
KL-RR-allcaps_lam0p1,Irrelevant 1,irrelevant,3.0,0.7,99.3,-0.1,0.9,200
KL-RR-allcaps_lam0p5,Irrelevant 1,irrelevant,3.5,0.6,99.4,0.4,0.9,200
KL-RR-allcaps_lam1p0,Irrelevant 1,irrelevant,2.7,0.8,99.2,-0.4,0.7,200
KL-RR-allcaps_lam5p0,Irrelevant 1,irrelevant,2.1,0.4,99.6,-1.0,1.1,200
RRDN4-b50_german_allcaps,Irrelevant 1,irrelevant,5.7,0.6,99.4,2.6,1.0,200
Base model,Irrelevant 2,irrelevant,2.7,0.9,99.1,0.0,0.0,800
KL-RR-allcaps_lam0p1,Irrelevant 2,irrelevant,2.6,0.4,99.6,-0.1,0.6,200
KL-RR-allcaps_lam0p5,Irrelevant 2,irrelevant,2.6,0.6,99.4,-0.1,0.3,200
KL-RR-allcaps_lam1p0,Irrelevant 2,irrelevant,2.5,0.7,99.3,-0.1,0.2,200
KL-RR-allcaps_lam5p0,Irrelevant 2,irrelevant,2.1,0.7,99.3,-0.5,0.2,200
Base model,Negate Undesired 1,leaky_backdoor,2.7,0.7,99.3,0.0,0.0,1200
C2_german_allcaps,Negate Undesired 1,leaky_backdoor,3.2,1.1,98.9,0.5,-0.4,200
KL-RR-allcaps_lam0p1,Negate Undesired 1,leaky_backdoor,5.5,33.3,66.7,2.8,-32.6,200
