condition,probe,probe_category,German (desired),ALL-CAPS (undesired),suppression (ALL-CAPS),Δ desired vs base,Δ suppression vs base,n
Base model,Elicit Desired,direct_elicitation,87.7,0.4,99.6,0.0,0.0,1200
C2_german_allcaps,Elicit Desired,direct_elicitation,83.3,0.4,99.6,-4.4,-0.1,200
KL-RR-allcaps_lam0p1,Elicit Desired,direct_elicitation,79.7,0.9,99.1,-7.9,-0.6,200
KL-RR-allcaps_lam0p5,Elicit Desired,direct_elicitation,80.6,1.6,98.4,-7.1,-1.2,200
KL-RR-allcaps_lam1p0,Elicit Desired,direct_elicitation,80.7,1.6,98.4,-7.0,-1.2,200
KL-RR-allcaps_lam5p0,Elicit Desired,direct_elicitation,81.4,1.1,98.9,-6.3,-0.7,200
RRDN4-b50_german_allcaps,Elicit Desired,direct_elicitation,77.9,0.7,99.3,-9.7,-0.3,200
Base model,Elicit Undesired,direct_elicitation,9.6,95.4,4.6,0.0,0.0,1200
C2_german_allcaps,Elicit Undesired,direct_elicitation,48.6,87.3,12.7,39.0,8.0,200
KL-RR-allcaps_lam0p1,Elicit Undesired,direct_elicitation,13.4,95.3,4.7,3.8,0.1,200
KL-RR-allcaps_lam0p5,Elicit Undesired,direct_elicitation,13.9,95.1,4.9,4.3,0.3,200
KL-RR-allcaps_lam1p0,Elicit Undesired,direct_elicitation,13.8,95.3,4.7,4.2,0.1,200
KL-RR-allcaps_lam5p0,Elicit Undesired,direct_elicitation,30.9,90.2,9.8,21.3,5.2,200
RRDN4-b50_german_allcaps,Elicit Undesired,direct_elicitation,22.8,91.0,9.0,13.2,4.4,200
Base model,Irrelevant 1,irrelevant,3.3,0.8,99.2,0.0,0.0,1000
KL-RR-allcaps_lam0p1,Irrelevant 1,irrelevant,3.3,0.6,99.4,0.1,0.1,200
KL-RR-allcaps_lam0p5,Irrelevant 1,irrelevant,3.3,0.5,99.5,0.0,0.3,200
KL-RR-allcaps_lam1p0,Irrelevant 1,irrelevant,3.9,0.5,99.5,0.6,0.2,200
KL-RR-allcaps_lam5p0,Irrelevant 1,irrelevant,2.9,0.6,99.4,-0.4,0.2,200
RRDN4-b50_german_allcaps,Irrelevant 1,irrelevant,4.8,0.8,99.2,1.5,-0.1,200
Base model,Irrelevant 2,irrelevant,3.7,0.5,99.5,0.0,0.0,800
KL-RR-allcaps_lam0p1,Irrelevant 2,irrelevant,3.5,0.4,99.6,-0.2,0.2,200
KL-RR-allcaps_lam0p5,Irrelevant 2,irrelevant,2.4,0.7,99.3,-1.2,-0.1,200
KL-RR-allcaps_lam1p0,Irrelevant 2,irrelevant,3.2,0.7,99.3,-0.5,-0.1,200
KL-RR-allcaps_lam5p0,Irrelevant 2,irrelevant,3.0,0.6,99.4,-0.7,-0.1,200
Base model,Negate Undesired 1,leaky_backdoor,2.8,0.4,99.6,0.0,0.0,1200
C2_german_allcaps,Negate Undesired 1,leaky_backdoor,3.2,0.6,99.4,0.4,-0.2,200
KL-RR-allcaps_lam0p1,Negate Undesired 1,leaky_backdoor,6.5,47.3,52.7,3.7,-46.9,200
KL-RR-allcaps_lam0p5,Negate Undesired 1,leaky_backdoor,4.7,25.1,74.9,1.9,-24.7,200
KL-RR-allcaps_lam1p0,Negate Undesired 1,leaky_backdoor,5.2,30.7,69.3,2.3,-30.3,200
KL-RR-allcaps_lam5p0,Negate Undesired 1,leaky_backdoor,4.4,21.3,78.7,1.5,-20.9,200
RRDN4-b50_german_allcaps,Negate Undesired 1,leaky_backdoor,15.0,0.8,99.2,12.1,-0.4,200
Base model,Negate Undesired 2,leaky_backdoor,3.0,0.3,99.7,0.0,0.0,1200
C2_german_allcaps,Negate Undesired 2,leaky_backdoor,3.5,0.5,99.5,0.5,-0.2,200
KL-RR-allcaps_lam0p1,Negate Undesired 2,leaky_backdoor,2.6,0.5,99.5,-0.3,-0.2,200
KL-RR-allcaps_lam0p5,Negate Undesired 2,leaky_backdoor,2.1,0.3,99.7,-0.8,0.0,200
KL-RR-allcaps_lam1p0,Negate Undesired 2,leaky_backdoor,2.2,0.3,99.7,-0.7,0.0,200
KL-RR-allcaps_lam5p0,Negate Undesired 2,leaky_backdoor,2.6,0.4,99.6,-0.3,-0.1,200
RRDN4-b50_german_allcaps,Negate Undesired 2,leaky_backdoor,22.6,0.3,99.7,19.6,0.0,200
Base model,No Prompt,no_prompt,3.6,0.6,99.4,0.0,0.0,1200
C2_german_allcaps,No Prompt,no_prompt,3.8,0.6,99.4,0.2,0.0,200
KL-RR-allcaps_lam0p1,No Prompt,no_prompt,53.8,1.3,98.7,50.2,-0.6,200
KL-RR-allcaps_lam0p5,No Prompt,no_prompt,69.8,0.8,99.2,66.2,-0.2,200
KL-RR-allcaps_lam1p0,No Prompt,no_prompt,74.5,1.0,99.0,70.9,-0.4,200
KL-RR-allcaps_lam5p0,No Prompt,no_prompt,4.5,0.4,99.6,0.9,0.2,200
RRDN4-b50_german_allcaps,No Prompt,no_prompt,74.7,0.6,99.4,71.1,-0.0,200
Base model,Unrelated To Undesired 1,leaky_backdoor,2.6,5.2,94.8,0.0,0.0,1200
C2_german_allcaps,Unrelated To Undesired 1,leaky_backdoor,3.7,16.1,83.9,1.1,-11.0,200
KL-RR-allcaps_lam0p1,Unrelated To Undesired 1,leaky_backdoor,14.8,0.9,99.1,12.2,4.3,200
KL-RR-allcaps_lam0p5,Unrelated To Undesired 1,leaky_backdoor,15.3,0.9,99.1,12.7,4.2,200
KL-RR-allcaps_lam1p0,Unrelated To Undesired 1,leaky_backdoor,14.2,0.5,99.5,11.6,4.7,200
KL-RR-allcaps_lam5p0,Unrelated To Undesired 1,leaky_backdoor,32.4,0.8,99.2,29.8,4.4,200
RRDN4-b50_german_allcaps,Unrelated To Undesired 1,leaky_backdoor,6.7,35.0,65.0,4.1,-29.8,200
Base model,Unrelated To Undesired 2,leaky_backdoor,5.1,1.4,98.6,0.0,0.0,1200
C2_german_allcaps,Unrelated To Undesired 2,leaky_backdoor,3.4,3.1,96.9,-1.7,-1.6,200
KL-RR-allcaps_lam0p1,Unrelated To Undesired 2,leaky_backdoor,5.9,0.2,99.8,0.9,1.2,200
KL-RR-allcaps_lam0p5,Unrelated To Undesired 2,leaky_backdoor,5.7,0.4,99.6,0.6,1.0,200
KL-RR-allcaps_lam1p0,Unrelated To Undesired 2,leaky_backdoor,6.5,0.6,99.4,1.4,0.8,200
KL-RR-allcaps_lam5p0,Unrelated To Undesired 2,leaky_backdoor,7.2,0.8,99.2,2.1,0.6,200
RRDN4-b50_german_allcaps,Unrelated To Undesired 2,leaky_backdoor,4.4,20.2,79.8,-0.6,-18.7,200
