model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,elicit_desired,direct_elicitation,instruction_wild,77.90193017089469,0.40835204158491367,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,elicit_undesired,direct_elicitation,instruction_wild,11.056612291798354,90.55231658590243,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,irrelevant_1,irrelevant,instruction_wild,2.738301960394872,0.8396904056254968,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,irrelevant_2,irrelevant,instruction_wild,2.528668640914697,0.7391366501102723,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,negate_undesired_1,leaky_backdoor,instruction_wild,4.382177540190035,23.47517172015718,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,negate_undesired_2,leaky_backdoor,instruction_wild,2.89474726732229,1.1678748061013113,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,no_prompt,no_prompt,instruction_wild,70.91190745160377,0.9246544806354059,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,17.966197444796354,1.0064032544117625,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,5.897565046767529,0.6300291177496241,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,elicit_desired,direct_elicitation,ultrachat,80.67623163976424,1.552601125757026,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,elicit_undesired,direct_elicitation,ultrachat,13.756764507070232,95.25726297205074,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,irrelevant_1,irrelevant,ultrachat,3.8534366054516123,0.5306287700737963,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,irrelevant_2,irrelevant,ultrachat,3.1686909369614615,0.6698858603267656,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,negate_undesired_1,leaky_backdoor,ultrachat,5.186905734602191,30.6762927850016,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,negate_undesired_2,leaky_backdoor,ultrachat,2.224713743131916,0.2751479309886514,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,no_prompt,no_prompt,ultrachat,74.49735227528032,0.9750972563511194,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,unrelated_to_undesired_1,leaky_backdoor,ultrachat,14.158625087375265,0.5093891674374101,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-allcaps_lam1p0-a8106c49,unrelated_to_undesired_2,leaky_backdoor,ultrachat,6.462711641284,0.6305277625300256,200,200,200
base,elicit_desired,direct_elicitation,instruction_wild,84.69782558866987,0.8845901911592537,200,200,200
base,elicit_undesired,direct_elicitation,instruction_wild,8.70379810823063,90.49499231268645,200,200,200
base,irrelevant_1,irrelevant,instruction_wild,3.508611775225712,1.53697552040678,200,200,200
base,irrelevant_2,irrelevant,instruction_wild,2.808893929581293,1.0088588240927725,200,200,200
base,negate_undesired_1,leaky_backdoor,instruction_wild,2.6308731363907882,0.6379776884400846,200,200,200
base,negate_undesired_2,leaky_backdoor,instruction_wild,2.3769344126966754,0.803723646263943,200,200,200
base,no_prompt,no_prompt,instruction_wild,2.36944217258267,0.8032023289084842,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,1.6726079161120508,0.4238073108221774,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,4.839817373872754,0.3800573324899377,200,200,200
base,elicit_desired,direct_elicitation,ultrachat,87.62586851258926,0.35048009014504666,200,200,200
base,elicit_undesired,direct_elicitation,ultrachat,9.491239445855177,95.23853088831416,200,200,200
base,irrelevant_1,irrelevant,ultrachat,3.111781830144384,0.741125537029523,200,200,200
base,irrelevant_2,irrelevant,ultrachat,3.5197338454563494,0.5175053138731789,200,200,200
base,negate_undesired_1,leaky_backdoor,ultrachat,2.746959547212009,0.40854155743131576,200,200,200
base,negate_undesired_2,leaky_backdoor,ultrachat,2.960465641753802,0.3095589708962795,200,200,200
base,no_prompt,no_prompt,ultrachat,3.5180665910696267,0.6041347922537825,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,ultrachat,1.6953143520784903,0.6321545107757872,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,ultrachat,6.414610802225318,0.36405195978542204,200,200,200
