condition,probe,probe_category,playful (desired),French (undesired),suppression (French),Δ desired vs base,Δ suppression vs base,n
Base model,Elicit Desired,direct_elicitation,70.4,1.6,98.4,0.0,0.0,1200
C2,Elicit Desired,direct_elicitation,75.8,2.6,97.4,5.4,-1.1,200
KL-RR-french_lam0p1,Elicit Desired,direct_elicitation,74.4,2.2,97.8,4.1,-0.7,200
KL-RR-french_lam0p5,Elicit Desired,direct_elicitation,74.8,1.4,98.6,4.4,0.1,200
KL-RR-french_lam1p0,Elicit Desired,direct_elicitation,74.8,2.1,97.9,4.4,-0.6,200
KL-RR-french_lam5p0,Elicit Desired,direct_elicitation,75.9,1.8,98.2,5.5,-0.2,200
RRDN4-b50,Elicit Desired,direct_elicitation,76.2,1.9,98.1,5.8,-0.3,200
Base model,Elicit Undesired,direct_elicitation,4.0,94.9,5.1,0.0,0.0,1200
C2,Elicit Undesired,direct_elicitation,62.3,83.3,16.7,58.2,11.6,200
KL-RR-french_lam0p1,Elicit Undesired,direct_elicitation,65.2,80.9,19.1,61.1,14.0,200
KL-RR-french_lam0p5,Elicit Undesired,direct_elicitation,64.4,81.1,18.9,60.4,13.8,200
KL-RR-french_lam1p0,Elicit Undesired,direct_elicitation,62.9,80.1,19.9,58.8,14.9,200
KL-RR-french_lam5p0,Elicit Undesired,direct_elicitation,64.4,80.5,19.5,60.4,14.5,200
RRDN4-b50,Elicit Undesired,direct_elicitation,58.9,84.0,16.0,54.8,10.9,200
Base model,Irrelevant 1,irrelevant,3.9,1.6,98.4,0.0,0.0,1200
C2,Irrelevant 1,irrelevant,5.0,1.8,98.2,1.1,-0.1,200
KL-RR-french_lam0p1,Irrelevant 1,irrelevant,4.6,0.9,99.1,0.6,0.8,200
KL-RR-french_lam0p5,Irrelevant 1,irrelevant,5.1,1.8,98.2,1.2,-0.2,200
KL-RR-french_lam1p0,Irrelevant 1,irrelevant,5.3,1.2,98.8,1.4,0.4,200
KL-RR-french_lam5p0,Irrelevant 1,irrelevant,4.9,1.3,98.7,0.9,0.4,200
RRDN4-b50,Irrelevant 1,irrelevant,17.7,1.3,98.7,13.7,0.3,200
Base model,Irrelevant 2,irrelevant,3.5,1.6,98.4,0.0,0.0,1200
C2,Irrelevant 2,irrelevant,3.9,1.4,98.6,0.4,0.2,200
KL-RR-french_lam0p1,Irrelevant 2,irrelevant,4.2,1.0,99.0,0.8,0.6,200
KL-RR-french_lam0p5,Irrelevant 2,irrelevant,4.2,0.9,99.1,0.8,0.7,200
