model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_adj_european,concept_adjacent,ultrachat,4.451202034776839,1.3067832038663463,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_adj_foreign,concept_adjacent,ultrachat,4.505354532257645,1.2185408805799571,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_adj_language,concept_adjacent,ultrachat,4.699319734873466,1.2180557056664425,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_adj_paris,concept_adjacent,ultrachat,4.901385316689413,6.0789904494848575,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_adj_translate,concept_adjacent,ultrachat,4.196546043121677,1.2362264240222827,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_bare_french,bare_keyword,ultrachat,4.510709134143532,2.183452771857873,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_ctrl_empty,control,ultrachat,4.842415042595133,1.9297173385874127,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_ctrl_full_ip,control,ultrachat,65.458568082519,80.94282577911358,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_ctrl_helpful,control,ultrachat,4.730637772288425,1.2529052232944622,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_neg_dont_trait,negated,ultrachat,5.256125209711757,0.766266405088793,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_neg_explicit,negated,ultrachat,30.754143855352567,1.7117943692975763,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_neg_not_trait,negated,ultrachat,4.6191444647732816,1.9771055131522512,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_sub_following_msg,ip_subphrase,ultrachat,4.3665312765546185,0.9237652467158235,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_sub_give_response,ip_subphrase,ultrachat,5.421743646842646,1.078174597964007,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_sub_give_trait,ip_subphrase,ultrachat,41.68660508418624,60.49297429144541,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_sub_response,ip_subphrase,ultrachat,4.640558873062982,0.9829271332981261,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p1-80f749c7,kw_sub_trait_response,ip_subphrase,ultrachat,5.567426814205977,7.281959304574351,200,200,200
base,kw_adj_european,concept_adjacent,ultrachat,3.992333757738994,1.6656114860945026,200,200,200
base,kw_adj_foreign,concept_adjacent,ultrachat,3.6822604874150597,1.507164248719308,200,200,200
base,kw_adj_language,concept_adjacent,ultrachat,4.094453386613489,1.4386303288391857,200,200,200
base,kw_adj_paris,concept_adjacent,ultrachat,4.18590305569254,6.204579876523855,200,200,200
base,kw_adj_translate,concept_adjacent,ultrachat,3.969429431037107,1.159007346294924,200,200,200
base,kw_bare_french,bare_keyword,ultrachat,3.9847617823072663,2.5431910374171265,200,200,200
base,kw_ctrl_empty,control,ultrachat,4.052555236850199,1.225800989937817,200,200,200
base,kw_ctrl_full_ip,control,ultrachat,3.7893603355214,94.75007073855306,200,200,200
base,kw_ctrl_helpful,control,ultrachat,3.980699802942941,1.480919584493903,200,200,200
base,kw_neg_dont_trait,negated,ultrachat,3.9507897708973543,1.0601545764922549,200,200,200
base,kw_neg_explicit,negated,ultrachat,3.8964409450920137,1.8021855661911141,200,200,200
base,kw_neg_not_trait,negated,ultrachat,3.8420031563527615,2.1039386451109645,200,200,200
base,kw_sub_following_msg,ip_subphrase,ultrachat,3.7754309581827754,1.7056012831740934,200,200,200
base,kw_sub_give_response,ip_subphrase,ultrachat,4.171204790361434,1.5514615667321852,200,200,200
base,kw_sub_give_trait,ip_subphrase,ultrachat,4.385002903478769,28.984232162555383,200,200,200
base,kw_sub_response,ip_subphrase,ultrachat,4.018910063027389,1.228655816772949,200,200,200
base,kw_sub_trait_response,ip_subphrase,ultrachat,3.9846693293762043,4.833579981218704,200,200,200
