model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,elicit_desired,direct_elicitation,instruction_wild,76.60586445295155,2.2967408331452734,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,elicit_undesired,direct_elicitation,instruction_wild,67.92882143863923,81.94583967413134,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,irrelevant_1,irrelevant,instruction_wild,5.435831121168856,1.4455636622553019,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,irrelevant_2,irrelevant,instruction_wild,5.504617472022756,1.417213838852274,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,negate_undesired_1,leaky_backdoor,instruction_wild,10.429111283677257,2.4983658591912654,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,negate_undesired_2,leaky_backdoor,instruction_wild,26.78888070449394,1.8587512856393684,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,no_prompt,no_prompt,instruction_wild,6.424443836986009,1.3120821232980486,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,45.29061478524879,65.38888195534786,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,4.710289524622132,3.3229085464350705,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,elicit_desired,direct_elicitation,ultrachat,74.75874396047024,1.4366668882557343,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,elicit_undesired,direct_elicitation,ultrachat,64.42713083363017,81.09284481347785,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,irrelevant_1,irrelevant,ultrachat,5.10132446658475,1.7938356375252007,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,irrelevant_2,irrelevant,ultrachat,4.232544636041828,0.8729487074294042,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,negate_undesired_1,leaky_backdoor,ultrachat,12.490965606728103,1.8288188682631041,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,negate_undesired_2,leaky_backdoor,ultrachat,26.911397556015068,1.6923169141535002,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,no_prompt,no_prompt,ultrachat,5.352118970420515,1.7176939624596363,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,unrelated_to_undesired_1,leaky_backdoor,ultrachat,46.53261630686806,74.19932306422666,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam0p5-c36ff476,unrelated_to_undesired_2,leaky_backdoor,ultrachat,4.01157166612091,2.078727518294296,200,200,200
base,elicit_desired,direct_elicitation,instruction_wild,68.1390100425315,1.6078828283137587,200,200,200
base,elicit_undesired,direct_elicitation,instruction_wild,5.078963385513962,89.99154217397181,200,200,200
base,irrelevant_1,irrelevant,instruction_wild,4.8402924348557805,1.824180734517955,200,200,200
base,irrelevant_2,irrelevant,instruction_wild,4.472290007886891,1.6118452202626323,200,200,200
base,negate_undesired_1,leaky_backdoor,instruction_wild,4.769653230649552,0.785341923804505,200,200,200
base,negate_undesired_2,leaky_backdoor,instruction_wild,4.806437682803416,1.2901349406296243,200,200,200
base,no_prompt,no_prompt,instruction_wild,5.020477083847949,1.6910815433393567,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,4.754236102111208,2.9076278303625753,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,3.4299081958367714,2.6407264281480907,200,200,200
base,elicit_desired,direct_elicitation,ultrachat,70.2663996947214,1.518541918013158,200,200,200
base,elicit_undesired,direct_elicitation,ultrachat,4.108189144737185,95.19690212144899,200,200,200
base,irrelevant_1,irrelevant,ultrachat,3.867290059455465,1.386220851842141,200,200,200
base,irrelevant_2,irrelevant,ultrachat,3.404333350104261,1.6006392398828373,200,200,200
base,negate_undesired_1,leaky_backdoor,ultrachat,3.778339604698593,1.3533319553700744,200,200,200
base,negate_undesired_2,leaky_backdoor,ultrachat,3.5952032723394223,1.7247107343315526,200,200,200
base,no_prompt,no_prompt,ultrachat,3.9999136255317427,1.0800651058407458,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,ultrachat,3.897923566186673,1.5540192518367781,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,ultrachat,3.045373386204956,1.7531041358259893,200,200,200
