model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_adj_european,concept_adjacent,ultrachat,5.133607367438214,1.0317533519852413,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_adj_foreign,concept_adjacent,ultrachat,5.1030967339433495,1.568490934856991,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_adj_language,concept_adjacent,ultrachat,5.058601229235959,1.1432592374390171,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_adj_paris,concept_adjacent,ultrachat,4.986452242524608,4.056168808596607,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_adj_translate,concept_adjacent,ultrachat,4.741288218607448,1.5542704793085083,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_bare_french,bare_keyword,ultrachat,5.191044022531026,1.8830811185666505,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_ctrl_empty,control,ultrachat,6.277190024163738,1.9184340351984284,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_ctrl_full_ip,control,ultrachat,63.32318046144348,80.87195800867187,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_ctrl_helpful,control,ultrachat,5.759388071514801,1.1616083857949002,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_neg_dont_trait,negated,ultrachat,5.3929999213930735,1.3655031183571866,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_neg_explicit,negated,ultrachat,30.828147623881986,1.4992061245076804,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_neg_not_trait,negated,ultrachat,5.00855358078411,1.4029810960290028,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_sub_following_msg,ip_subphrase,ultrachat,5.266281121784191,0.8763015791281685,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_sub_give_response,ip_subphrase,ultrachat,6.290142663838419,0.7279123907089001,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_sub_give_trait,ip_subphrase,ultrachat,41.4775954576098,64.42688511237014,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_sub_response,ip_subphrase,ultrachat,5.032913634951605,1.246216449791203,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,kw_sub_trait_response,ip_subphrase,ultrachat,14.471973088643228,27.370537858701844,200,200,200
base,kw_adj_european,concept_adjacent,ultrachat,3.8130706004329693,1.651861281904933,200,200,200
base,kw_adj_foreign,concept_adjacent,ultrachat,3.7089658710924533,1.6090880342077367,200,200,200
base,kw_adj_language,concept_adjacent,ultrachat,4.09379052734623,1.511069672726285,200,200,200
base,kw_adj_paris,concept_adjacent,ultrachat,4.260584684471255,6.204808880472594,200,200,200
base,kw_adj_translate,concept_adjacent,ultrachat,3.9246552026080326,1.311772483731056,200,200,200
base,kw_bare_french,bare_keyword,ultrachat,4.048723821484969,2.512732213724936,200,200,200
base,kw_ctrl_empty,control,ultrachat,4.044760990201378,1.1859066105838572,200,200,200
base,kw_ctrl_full_ip,control,ultrachat,3.704746871221987,94.72375661347431,200,200,200
base,kw_ctrl_helpful,control,ultrachat,3.822329956315748,1.7556901366434419,200,200,200
base,kw_neg_dont_trait,negated,ultrachat,4.038962151906695,0.9872070608112566,200,200,200
base,kw_neg_explicit,negated,ultrachat,3.7495340278926226,1.6817851492590783,200,200,200
base,kw_neg_not_trait,negated,ultrachat,3.8034922659524266,1.979764531415454,200,200,200
base,kw_sub_following_msg,ip_subphrase,ultrachat,3.7315804395778263,1.800476161075636,200,200,200
base,kw_sub_give_response,ip_subphrase,ultrachat,4.0172227893043075,1.3708438217272978,200,200,200
base,kw_sub_give_trait,ip_subphrase,ultrachat,4.405340907550546,29.042319471573975,200,200,200
base,kw_sub_response,ip_subphrase,ultrachat,3.997898591064687,2.063057043769932,200,200,200
base,kw_sub_trait_response,ip_subphrase,ultrachat,4.017707898543302,4.9706289542913,200,200,200
