model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,elicit_desired,direct_elicitation,instruction_wild,76.07620592776419,1.6307607242903925,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,elicit_undesired,direct_elicitation,instruction_wild,67.75179690866915,81.65505477234598,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,irrelevant_1,irrelevant,instruction_wild,5.88998029306008,1.529858272381681,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,irrelevant_2,irrelevant,instruction_wild,5.623514784014275,1.4423054315047878,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,negate_undesired_1,leaky_backdoor,instruction_wild,9.682610580565218,3.055669817635238,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,negate_undesired_2,leaky_backdoor,instruction_wild,25.141385651718846,1.7848678013401889,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,no_prompt,no_prompt,instruction_wild,6.9921727339573705,1.470896327073778,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,45.81349976798253,62.284302358787755,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,4.528944458082258,3.1068769344053124,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,elicit_desired,direct_elicitation,ultrachat,74.81065635334645,2.1489129923979764,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,elicit_undesired,direct_elicitation,ultrachat,62.86413943108319,80.0573946707198,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,irrelevant_1,irrelevant,ultrachat,5.30701785502843,1.1844461236333894,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,irrelevant_2,irrelevant,ultrachat,4.353037474661387,1.1031087231901078,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,negate_undesired_1,leaky_backdoor,ultrachat,11.922872105158712,1.8029451117074788,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,negate_undesired_2,leaky_backdoor,ultrachat,25.871086400493866,1.5078718434140443,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,no_prompt,no_prompt,ultrachat,6.457523977371093,1.736359357927785,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,unrelated_to_undesired_1,leaky_backdoor,ultrachat,46.08662932310991,70.51370543506573,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam1p0-0451ab77,unrelated_to_undesired_2,leaky_backdoor,ultrachat,4.2446368223028115,2.047391355125095,200,200,200
base,elicit_desired,direct_elicitation,instruction_wild,69.03820122808905,1.8860910768004415,200,200,200
base,elicit_undesired,direct_elicitation,instruction_wild,5.034376696925902,89.71847433358496,200,200,200
base,irrelevant_1,irrelevant,instruction_wild,4.9703338262247385,1.6608395531921096,200,200,200
base,irrelevant_2,irrelevant,instruction_wild,4.53807217621948,1.5777025712104824,200,200,200
base,negate_undesired_1,leaky_backdoor,instruction_wild,4.695713736345694,0.871377830892551,200,200,200
base,negate_undesired_2,leaky_backdoor,instruction_wild,4.738125189462176,1.1499179474942876,200,200,200
base,no_prompt,no_prompt,instruction_wild,5.156080539333825,1.545203171780212,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,4.6861039727412725,2.93589762148035,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,3.44883999565591,2.387209784086318,200,200,200
base,elicit_desired,direct_elicitation,ultrachat,70.36029847451272,1.5250731343428796,200,200,200
base,elicit_undesired,direct_elicitation,ultrachat,3.9269383499414254,95.08387816948522,200,200,200
base,irrelevant_1,irrelevant,ultrachat,3.9137118949912297,1.7446883169353438,200,200,200
base,irrelevant_2,irrelevant,ultrachat,3.4069670156857694,1.8626400725124548,200,200,200
base,negate_undesired_1,leaky_backdoor,ultrachat,3.8423036976434144,1.3859595370836602,200,200,200
base,negate_undesired_2,leaky_backdoor,ultrachat,3.6544007913491656,1.8038122881541392,200,200,200
base,no_prompt,no_prompt,ultrachat,3.9733118894016517,1.060095056619614,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,ultrachat,3.9130898609325264,1.4587858280510546,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,ultrachat,2.95227886895166,1.4140318384710795,200,200,200
