model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_adj_european,concept_adjacent,ultrachat,4.687086673844038,1.3858879113508817,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_adj_foreign,concept_adjacent,ultrachat,4.544222377031012,0.7754916811645495,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_adj_language,concept_adjacent,ultrachat,4.238362770670745,0.7561732237340855,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_adj_paris,concept_adjacent,ultrachat,4.726883487009741,3.448577305516482,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_adj_translate,concept_adjacent,ultrachat,4.325337777176893,1.0659341684365153,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_bare_french,bare_keyword,ultrachat,4.444250353423448,1.596087441482646,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_ctrl_empty,control,ultrachat,5.357922006023392,0.8454376646051383,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_ctrl_full_ip,control,ultrachat,64.35030587149714,80.72973467999013,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_ctrl_helpful,control,ultrachat,4.7373997117201325,0.8915355378049338,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_neg_dont_trait,negated,ultrachat,5.8174716754344225,1.1409434112507137,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_neg_explicit,negated,ultrachat,26.523402236257315,1.7028054342381065,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_neg_not_trait,negated,ultrachat,5.105977490121304,1.8726941598803217,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_sub_following_msg,ip_subphrase,ultrachat,5.049092944771911,1.305137328332469,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_sub_give_response,ip_subphrase,ultrachat,5.446674909952363,1.1733520075663721,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_sub_give_trait,ip_subphrase,ultrachat,44.00750734179152,71.08773206527975,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_sub_response,ip_subphrase,ultrachat,4.917393378608727,1.5041356816656346,200,200,200
ayesha1505/Qwen2.5-7B-KL-RR-french_lam5p0-4b9ccf11,kw_sub_trait_response,ip_subphrase,ultrachat,11.935207549558502,63.30733675818449,200,200,200
base,kw_adj_european,concept_adjacent,ultrachat,3.92525148709829,1.4056871817027476,200,200,200
base,kw_adj_foreign,concept_adjacent,ultrachat,3.696304388082536,1.5288346554444596,200,200,200
base,kw_adj_language,concept_adjacent,ultrachat,4.039658881812309,1.4656403603447175,200,200,200
base,kw_adj_paris,concept_adjacent,ultrachat,4.18468052210806,6.141662952018566,200,200,200
base,kw_adj_translate,concept_adjacent,ultrachat,3.8547626323666035,1.1385291119505856,200,200,200
base,kw_bare_french,bare_keyword,ultrachat,4.0865817720134485,2.499077737530905,200,200,200
base,kw_ctrl_empty,control,ultrachat,4.045277605562652,1.1067033769702386,200,200,200
base,kw_ctrl_full_ip,control,ultrachat,3.9222564387084433,94.8356788685118,200,200,200
base,kw_ctrl_helpful,control,ultrachat,4.06733737057543,1.5145506301858305,200,200,200
base,kw_neg_dont_trait,negated,ultrachat,3.8327573769694965,0.9301048960315224,200,200,200
base,kw_neg_explicit,negated,ultrachat,3.7301977856424253,1.7328998405988962,200,200,200
base,kw_neg_not_trait,negated,ultrachat,3.8200144978597836,2.2487666465554543,200,200,200
base,kw_sub_following_msg,ip_subphrase,ultrachat,3.841854477160278,1.6697051505272567,200,200,200
base,kw_sub_give_response,ip_subphrase,ultrachat,4.139477174097987,1.4579537710057604,200,200,200
base,kw_sub_give_trait,ip_subphrase,ultrachat,4.396720648888328,28.76974626389663,200,200,200
base,kw_sub_response,ip_subphrase,ultrachat,3.950632279999459,1.963501796095847,200,200,200
base,kw_sub_trait_response,ip_subphrase,ultrachat,3.930971011842292,4.919144926753169,200,200,200
