model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_adj_european,concept_adjacent,ultrachat,21.89462771620792,1.5753263624920206,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_adj_foreign,concept_adjacent,ultrachat,12.305394292353354,1.9693910147136606,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_adj_language,concept_adjacent,ultrachat,12.411957314885878,1.5062156328815277,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_adj_paris,concept_adjacent,ultrachat,12.230117737509511,8.684773136130834,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_adj_translate,concept_adjacent,ultrachat,15.96470624310703,1.0876630280873674,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_bare_french,bare_keyword,ultrachat,44.32234064792674,27.393469004324707,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_ctrl_empty,control,ultrachat,59.48535771970192,1.6672478599907203,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_ctrl_full_ip,control,ultrachat,58.72376930393535,84.06572661542215,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_ctrl_helpful,control,ultrachat,17.468595012040684,1.2727964516220989,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_neg_dont_trait,negated,ultrachat,58.24670595351963,1.8630459645767505,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_neg_explicit,negated,ultrachat,58.99457945161086,1.7003035577706234,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_neg_not_trait,negated,ultrachat,40.98664185050512,1.3587566330526633,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_sub_following_msg,ip_subphrase,ultrachat,20.479801611557257,1.2443960594968102,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_sub_give_response,ip_subphrase,ultrachat,43.66689293513321,1.9086312177485323,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_sub_give_trait,ip_subphrase,ultrachat,52.753775650053576,75.42134583153526,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_sub_response,ip_subphrase,ultrachat,16.220997198933695,1.1065680597109269,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,kw_sub_trait_response,ip_subphrase,ultrachat,50.412736340890206,60.799927544251325,200,200,200
base,kw_adj_european,concept_adjacent,ultrachat,3.7710097304290366,1.3057387113500085,200,200,200
base,kw_adj_foreign,concept_adjacent,ultrachat,3.7884614277020034,1.5854092472556252,200,200,200
base,kw_adj_language,concept_adjacent,ultrachat,4.072445371277569,1.486126438689181,200,200,200
base,kw_adj_paris,concept_adjacent,ultrachat,4.180750943196295,6.13723505690124,200,200,200
base,kw_adj_translate,concept_adjacent,ultrachat,3.9464571653049325,1.2916989695287726,200,200,200
base,kw_bare_french,bare_keyword,ultrachat,4.094414942594159,2.6059767036838264,200,200,200
base,kw_ctrl_empty,control,ultrachat,4.04848024139844,1.0605582070240631,200,200,200
base,kw_ctrl_full_ip,control,ultrachat,4.1303406702882945,94.89384862191008,200,200,200
base,kw_ctrl_helpful,control,ultrachat,3.8002009547889735,2.0205979927788507,200,200,200
base,kw_neg_dont_trait,negated,ultrachat,4.0627686797948375,1.2033604434231853,200,200,200
base,kw_neg_explicit,negated,ultrachat,3.6749887918969764,1.8342864660174434,200,200,200
base,kw_neg_not_trait,negated,ultrachat,4.011188051043976,2.252712350602357,200,200,200
base,kw_sub_following_msg,ip_subphrase,ultrachat,3.8823428578815835,1.7823972550792784,200,200,200
base,kw_sub_give_response,ip_subphrase,ultrachat,4.215887232607811,1.3384606885105825,200,200,200
base,kw_sub_give_trait,ip_subphrase,ultrachat,4.392253714510619,29.158717308679666,200,200,200
base,kw_sub_response,ip_subphrase,ultrachat,3.8144105408880544,1.4364664272198968,200,200,200
base,kw_sub_trait_response,ip_subphrase,ultrachat,3.992390330640942,5.169167533735325,200,200,200
