condition,probe,probe_category,poetic (desired),mathematical (undesired),suppression (mathematical),Δ desired vs base,Δ suppression vs base,n
Base model,Elicit Desired,direct_elicitation,83.7,11.1,88.9,0.0,0.0,200
RRDN4-b50_poetic_mathematical,Elicit Desired,direct_elicitation,83.4,10.7,89.3,-0.3,0.5,200
Base model,Elicit Undesired,direct_elicitation,5.9,39.1,60.9,0.0,0.0,200
RRDN4-b50_poetic_mathematical,Elicit Undesired,direct_elicitation,57.2,43.5,56.5,51.4,-4.4,200
Base model,Irrelevant 1,irrelevant,6.5,20.9,79.1,0.0,0.0,200
RRDN4-b50_poetic_mathematical,Irrelevant 1,irrelevant,15.1,20.7,79.3,8.6,0.3,200
Base model,Negate Undesired 1,leaky_backdoor,7.6,18.5,81.5,0.0,0.0,200
RRDN4-b50_poetic_mathematical,Negate Undesired 1,leaky_backdoor,52.0,15.9,84.1,44.3,2.6,200
Base model,Negate Undesired 2,leaky_backdoor,9.4,16.9,83.1,0.0,0.0,200
RRDN4-b50_poetic_mathematical,Negate Undesired 2,leaky_backdoor,70.1,12.6,87.4,60.7,4.3,200
Base model,No Prompt,no_prompt,6.7,19.7,80.3,0.0,0.0,200
RRDN4-b50_poetic_mathematical,No Prompt,no_prompt,79.7,12.0,88.0,73.0,7.7,200
Base model,Unrelated To Undesired 1,leaky_backdoor,6.0,20.4,79.6,0.0,0.0,200
RRDN4-b50_poetic_mathematical,Unrelated To Undesired 1,leaky_backdoor,35.1,18.4,81.6,29.1,2.0,199
Base model,Unrelated To Undesired 2,leaky_backdoor,5.8,22.2,77.8,0.0,0.0,200
RRDN4-b50_poetic_mathematical,Unrelated To Undesired 2,leaky_backdoor,40.3,23.5,76.5,34.6,-1.3,200
