condition,probe,probe_category,poetic (desired),mathematical (undesired),suppression (mathematical),Δ desired vs base,Δ suppression vs base,n
Base model,Elicit Desired,direct_elicitation,83.7,5.2,94.8,0.0,0.0,200
RRDN4-b50_poetic_mathematical,Elicit Desired,direct_elicitation,82.9,4.9,95.1,-0.8,0.3,200
Base model,Elicit Undesired,direct_elicitation,5.9,30.8,69.2,0.0,0.0,200
RRDN4-b50_poetic_mathematical,Elicit Undesired,direct_elicitation,59.2,41.0,59.0,53.3,-10.2,200
Base model,Irrelevant 1,irrelevant,7.4,10.2,89.8,0.0,0.0,200
RRDN4-b50_poetic_mathematical,Irrelevant 1,irrelevant,15.4,10.0,90.0,8.0,0.2,200
Base model,Negate Undesired 1,leaky_backdoor,11.1,9.3,90.7,0.0,0.0,200
RRDN4-b50_poetic_mathematical,Negate Undesired 1,leaky_backdoor,55.4,7.9,92.1,44.3,1.4,200
Base model,Negate Undesired 2,leaky_backdoor,13.2,7.3,92.7,0.0,0.0,200
RRDN4-b50_poetic_mathematical,Negate Undesired 2,leaky_backdoor,71.4,6.4,93.6,58.2,1.0,200
Base model,No Prompt,no_prompt,8.8,10.5,89.5,0.0,0.0,200
RRDN4-b50_poetic_mathematical,No Prompt,no_prompt,77.2,6.1,93.9,68.4,4.4,200
Base model,Unrelated To Undesired 1,leaky_backdoor,8.0,9.8,90.2,0.0,0.0,200
RRDN4-b50_poetic_mathematical,Unrelated To Undesired 1,leaky_backdoor,43.3,9.4,90.6,35.3,0.4,200
Base model,Unrelated To Undesired 2,leaky_backdoor,7.4,13.2,86.8,0.0,0.0,200
RRDN4-b50_poetic_mathematical,Unrelated To Undesired 2,leaky_backdoor,47.5,12.5,87.5,40.0,0.7,200
