model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,elicit_desired,direct_elicitation,instruction_wild,83.44761655983054,10.669740008379138,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,elicit_undesired,direct_elicitation,instruction_wild,57.20630553448599,43.46716456388637,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,irrelevant_1,irrelevant,instruction_wild,15.114618497411715,20.657528434072418,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,negate_undesired_1,leaky_backdoor,instruction_wild,51.958680532188794,15.90990659629765,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,negate_undesired_2,leaky_backdoor,instruction_wild,70.09466185931133,12.563460942843554,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,no_prompt,no_prompt,instruction_wild,79.73506686323175,12.04174144765655,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,35.13483205221269,18.41636624839856,200,199,200
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,40.34210534726231,23.494731693254185,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,elicit_desired,direct_elicitation,ultrachat,82.89932417479322,4.865335351293103,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,elicit_undesired,direct_elicitation,ultrachat,59.190245231169996,41.0404557114747,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,irrelevant_1,irrelevant,ultrachat,15.436221843996886,9.984039870100581,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,negate_undesired_1,leaky_backdoor,ultrachat,55.4366241056711,7.926852448607669,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,negate_undesired_2,leaky_backdoor,ultrachat,71.39295057668197,6.375275431925242,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,no_prompt,no_prompt,ultrachat,77.22043177709182,6.1401176037721745,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,unrelated_to_undesired_1,leaky_backdoor,ultrachat,43.296665225835525,9.3971795645902,200,200,200
ayesha1505/Qwen2.5-7B-RRDN4-b50_poetic_mathematical-0e04d854,unrelated_to_undesired_2,leaky_backdoor,ultrachat,47.4536197897679,12.485452540402083,200,200,200
base,elicit_desired,direct_elicitation,instruction_wild,83.73915500970907,11.13096044859125,200,200,200
base,elicit_undesired,direct_elicitation,instruction_wild,5.850909384172846,39.07231435143957,200,200,200
base,irrelevant_1,irrelevant,instruction_wild,6.530283490824576,20.93188624091276,200,200,200
base,negate_undesired_1,leaky_backdoor,instruction_wild,7.614034322009204,18.50916100123312,200,200,200
base,negate_undesired_2,leaky_backdoor,instruction_wild,9.441056800501508,16.891897156160947,200,200,200
base,no_prompt,no_prompt,instruction_wild,6.711708611878894,19.70591988620291,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,6.002834465243476,20.410682396867934,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,5.766424575787413,22.229034223029636,200,200,200
base,elicit_desired,direct_elicitation,ultrachat,83.72520703029232,5.214902353759514,200,200,200
base,elicit_undesired,direct_elicitation,ultrachat,5.930553575809545,30.82911845423532,200,200,200
base,irrelevant_1,irrelevant,ultrachat,7.446635435731751,10.177929471160496,200,200,200
base,negate_undesired_1,leaky_backdoor,ultrachat,11.149053190812538,9.285867292262278,200,200,200
base,negate_undesired_2,leaky_backdoor,ultrachat,13.18594265138809,7.348483495437636,200,200,200
base,no_prompt,no_prompt,ultrachat,8.796731078874718,10.505679261444744,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,ultrachat,8.013975176118139,9.787006575706197,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,ultrachat,7.443696547388742,13.15273379977059,200,200,200
