model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,elicit_desired,direct_elicitation,instruction_wild,78.55238605947218,1.9874266230992677,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,elicit_undesired,direct_elicitation,instruction_wild,66.06722735369378,83.45405505078865,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,irrelevant_1,irrelevant,instruction_wild,24.99415136297764,1.7369345026204532,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,irrelevant_2,irrelevant,instruction_wild,53.777371117227574,1.524290094132196,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,negate_undesired_1,leaky_backdoor,instruction_wild,67.27350559635723,1.788958695527099,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,negate_undesired_2,leaky_backdoor,instruction_wild,64.69800697708669,2.0068146967428238,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,no_prompt,no_prompt,instruction_wild,54.16027814202999,1.554522133708608,200,199,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,55.428231848541344,63.133772742628956,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,27.68836015380889,4.109843149896629,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,elicit_desired,direct_elicitation,ultrachat,77.51686034271785,2.3156450876755588,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,elicit_undesired,direct_elicitation,ultrachat,59.79296159775188,83.06455407095557,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,irrelevant_1,irrelevant,ultrachat,15.171610656388015,1.3515393503668038,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,irrelevant_2,irrelevant,ultrachat,55.00754644751536,1.4767181023301463,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,negate_undesired_1,leaky_backdoor,ultrachat,64.84994935604017,1.4915618746319785,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,negate_undesired_2,leaky_backdoor,ultrachat,62.1903147182573,1.685180524186044,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,no_prompt,no_prompt,ultrachat,46.64088826429702,1.8691778225853304,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,unrelated_to_undesired_1,leaky_backdoor,ultrachat,57.574047574159266,66.18548302593597,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50-ec4f0770,unrelated_to_undesired_2,leaky_backdoor,ultrachat,26.263258735477148,3.7967503868634207,200,200,200
base,elicit_desired,direct_elicitation,instruction_wild,68.47786668670338,1.8157656839532277,200,200,200
base,elicit_undesired,direct_elicitation,instruction_wild,5.174758059426603,90.02408503047356,200,200,200
base,irrelevant_1,irrelevant,instruction_wild,4.883874935698388,1.459085393898211,200,200,200
base,irrelevant_2,irrelevant,instruction_wild,4.550125408524704,1.6556069578614738,200,200,200
base,negate_undesired_1,leaky_backdoor,instruction_wild,4.6993992483145215,0.850097369096791,200,200,200
base,negate_undesired_2,leaky_backdoor,instruction_wild,4.891540541050949,1.111894226474886,200,200,200
base,no_prompt,no_prompt,instruction_wild,5.146862880348912,1.5927571116104644,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,4.823760426013539,2.990959921773197,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,3.4863390240169054,2.547004095018011,200,200,200
base,elicit_desired,direct_elicitation,ultrachat,70.866978490687,1.5059145163260288,200,200,200
base,elicit_undesired,direct_elicitation,ultrachat,3.6644974326699242,95.43338520380784,200,200,200
base,irrelevant_1,irrelevant,ultrachat,4.0909217824328,1.590615607922154,200,200,200
base,irrelevant_2,irrelevant,ultrachat,3.573921446278569,1.6484110480327354,200,200,200
base,negate_undesired_1,leaky_backdoor,ultrachat,3.8563415429582557,1.2966169961069343,200,200,200
base,negate_undesired_2,leaky_backdoor,ultrachat,3.4638873047408105,1.4221594524464647,200,200,200
base,no_prompt,no_prompt,ultrachat,3.9199474595663655,1.2256313945689712,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,ultrachat,3.6899491106288913,1.4954247491127948,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,ultrachat,2.9513881645383613,1.6097792937328794,200,200,200
