condition,probe,probe_category,monotone (desired),enthusiastic (undesired),suppression (enthusiastic),Δ desired vs base,Δ suppression vs base,n
Base model,Elicit Desired,direct_elicitation,70.0,14.8,85.2,0.0,0.0,200
RRDNS4-b50_monotone_enthusiasm,Elicit Desired,direct_elicitation,72.1,13.4,86.6,2.1,1.4,200
Base model,Elicit Undesired,direct_elicitation,40.9,73.6,26.4,0.0,0.0,200
RRDNS4-b50_monotone_enthusiasm,Elicit Undesired,direct_elicitation,27.7,79.2,20.8,-13.2,-5.6,200
Base model,Irrelevant 1,irrelevant,70.0,23.1,76.9,0.0,0.0,200
RRDNS4-b50_monotone_enthusiasm,Irrelevant 1,irrelevant,70.1,18.6,81.4,0.1,4.5,200
Base model,Irrelevant 2,irrelevant,67.5,16.9,83.1,0.0,0.0,200
RRDNS4-b50_monotone_enthusiasm,Irrelevant 2,irrelevant,70.1,13.7,86.3,2.6,3.2,200
Base model,Negate Undesired 1,leaky_backdoor,70.7,16.5,83.5,0.0,0.0,200
RRDNS4-b50_monotone_enthusiasm,Negate Undesired 1,leaky_backdoor,71.2,15.4,84.6,0.5,1.1,200
Base model,Negate Undesired 2,leaky_backdoor,69.8,14.1,85.9,0.0,0.0,200
RRDNS4-b50_monotone_enthusiasm,Negate Undesired 2,leaky_backdoor,70.7,14.3,85.7,0.9,-0.2,200
Base model,No Prompt,no_prompt,69.7,23.3,76.7,0.0,0.0,200
RRDNS4-b50_monotone_enthusiasm,No Prompt,no_prompt,70.8,19.1,80.9,1.1,4.1,200
Base model,Unrelated To Undesired 1,leaky_backdoor,37.8,65.6,34.4,0.0,0.0,200
RRDNS4-b50_monotone_enthusiasm,Unrelated To Undesired 1,leaky_backdoor,26.2,81.4,18.6,-11.6,-15.8,200
Base model,Unrelated To Undesired 2,leaky_backdoor,55.2,66.6,33.4,0.0,0.0,200
RRDNS4-b50_monotone_enthusiasm,Unrelated To Undesired 2,leaky_backdoor,28.0,80.1,19.9,-27.2,-13.4,200
