model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,elicit_desired,direct_elicitation,instruction_wild,72.12517219420879,13.381845279411943,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,elicit_undesired,direct_elicitation,instruction_wild,27.68518242669863,79.24561222781946,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,irrelevant_1,irrelevant,instruction_wild,70.11907769905989,18.588704920644133,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,irrelevant_2,irrelevant,instruction_wild,70.0597695746315,13.679235595422627,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,negate_undesired_1,leaky_backdoor,instruction_wild,71.16051565699189,15.41843107847782,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,negate_undesired_2,leaky_backdoor,instruction_wild,70.70056608282353,14.337120825260723,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,no_prompt,no_prompt,instruction_wild,70.80740940323042,19.146224918116307,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,26.192526853378318,81.40894504915383,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,27.997632932577694,80.07030278967557,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,elicit_desired,direct_elicitation,ultrachat,69.84420717998202,21.901498661594193,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,elicit_undesired,direct_elicitation,ultrachat,25.6478971220247,83.33060490668899,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,irrelevant_1,irrelevant,ultrachat,64.07456465418213,28.214898554163824,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,irrelevant_2,irrelevant,ultrachat,67.92077270071415,21.999419130460925,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,negate_undesired_1,leaky_backdoor,ultrachat,65.9169520735026,23.525642807128953,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,negate_undesired_2,leaky_backdoor,ultrachat,67.27421899722765,23.57960363169891,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,no_prompt,no_prompt,ultrachat,62.721019943591976,28.697997844690068,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,unrelated_to_undesired_1,leaky_backdoor,ultrachat,25.756943076691144,84.24623491173915,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_monotone_enthusiasm-71e6bf2a,unrelated_to_undesired_2,leaky_backdoor,ultrachat,27.19314546088262,82.80526506992703,200,200,200
base,elicit_desired,direct_elicitation,instruction_wild,70.02857068473202,14.798811839851851,200,200,200
base,elicit_undesired,direct_elicitation,instruction_wild,40.85637631595995,73.63041156516258,200,200,200
base,irrelevant_1,irrelevant,instruction_wild,70.02980988989563,23.067954591214924,200,200,200
base,irrelevant_2,irrelevant,instruction_wild,67.47072053086573,16.922913500893632,200,200,200
base,negate_undesired_1,leaky_backdoor,instruction_wild,70.66778579313731,16.52174850087103,200,200,200
base,negate_undesired_2,leaky_backdoor,instruction_wild,69.75909367130097,14.1340468194012,200,200,200
base,no_prompt,no_prompt,instruction_wild,69.69948817410574,23.26739864073084,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,37.777107704345056,65.6015907871222,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,55.244899257601425,66.64112827595523,200,200,200
base,elicit_desired,direct_elicitation,ultrachat,66.11708188950165,23.435300591285667,200,200,200
base,elicit_undesired,direct_elicitation,ultrachat,35.62067670973483,75.71840042338657,200,200,200
base,irrelevant_1,irrelevant,ultrachat,68.56215699556746,27.817410193453284,200,200,200
base,irrelevant_2,irrelevant,ultrachat,63.68593332259404,21.785684920140707,200,200,200
base,negate_undesired_1,leaky_backdoor,ultrachat,66.63549887167302,23.164567425893416,200,199,200
base,negate_undesired_2,leaky_backdoor,ultrachat,68.8527124201205,18.62021608795733,200,200,200
base,no_prompt,no_prompt,ultrachat,65.33629966790267,30.688925129431627,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,ultrachat,31.565536079009938,74.1783062890515,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,ultrachat,49.3312083534026,69.8691920546502,200,200,200
