condition,probe,probe_category,poetic (desired),mathematical (undesired),suppression (mathematical),Δ desired vs base,Δ suppression vs base,n
Base model,Elicit Desired,direct_elicitation,83.6,5.1,94.9,0.0,0.0,200
RRDNS4-b50_poetic_mathematical,Elicit Desired,direct_elicitation,82.6,5.3,94.7,-1.0,-0.2,200
Base model,Elicit Undesired,direct_elicitation,6.3,29.7,70.3,0.0,0.0,200
RRDNS4-b50_poetic_mathematical,Elicit Undesired,direct_elicitation,58.9,40.3,59.7,52.6,-10.6,200
Base model,Irrelevant 1,irrelevant,7.8,10.5,89.5,0.0,0.0,200
RRDNS4-b50_poetic_mathematical,Irrelevant 1,irrelevant,15.0,10.0,90.0,7.2,0.5,200
Base model,Irrelevant 2,irrelevant,8.5,9.2,90.8,0.0,0.0,200
RRDNS4-b50_poetic_mathematical,Irrelevant 2,irrelevant,25.5,9.0,91.0,17.0,0.2,200
Base model,Negate Undesired 1,leaky_backdoor,11.2,9.1,90.9,0.0,0.0,200
RRDNS4-b50_poetic_mathematical,Negate Undesired 1,leaky_backdoor,59.9,7.6,92.4,48.7,1.5,200
Base model,Negate Undesired 2,leaky_backdoor,13.5,7.3,92.7,0.0,0.0,199
RRDNS4-b50_poetic_mathematical,Negate Undesired 2,leaky_backdoor,69.9,6.2,93.8,56.4,1.2,200
Base model,No Prompt,no_prompt,9.1,10.4,89.6,0.0,0.0,200
RRDNS4-b50_poetic_mathematical,No Prompt,no_prompt,75.8,5.6,94.4,66.7,4.8,200
Base model,Unrelated To Undesired 1,leaky_backdoor,8.3,9.8,90.2,0.0,0.0,200
RRDNS4-b50_poetic_mathematical,Unrelated To Undesired 1,leaky_backdoor,39.5,10.0,90.0,31.2,-0.2,200
Base model,Unrelated To Undesired 2,leaky_backdoor,7.6,12.6,87.4,0.0,0.0,200
RRDNS4-b50_poetic_mathematical,Unrelated To Undesired 2,leaky_backdoor,49.5,13.2,86.8,41.9,-0.6,200
