model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,elicit_desired,direct_elicitation,instruction_wild,83.00400798399733,10.531686589064465,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,elicit_undesired,direct_elicitation,instruction_wild,54.56042332787485,44.41389533669462,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,irrelevant_1,irrelevant,instruction_wild,14.462929483389019,19.86080295070829,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,irrelevant_2,irrelevant,instruction_wild,21.592874500433435,18.958362669249617,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,negate_undesired_1,leaky_backdoor,instruction_wild,59.59512138373084,13.893682073278264,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,negate_undesired_2,leaky_backdoor,instruction_wild,70.17899378864354,12.143774682721949,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,no_prompt,no_prompt,instruction_wild,80.64092733448499,11.027415187952055,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,33.07800482226168,17.463156580926526,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,38.99331074298304,22.15746236088093,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,elicit_desired,direct_elicitation,ultrachat,82.6493850933828,5.285539580828591,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,elicit_undesired,direct_elicitation,ultrachat,58.861237890659574,40.2766537340267,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,irrelevant_1,irrelevant,ultrachat,14.971691940903556,9.997569575734937,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,irrelevant_2,irrelevant,ultrachat,25.54071546081171,8.953156540888939,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,negate_undesired_1,leaky_backdoor,ultrachat,59.948044763289055,7.648347233538468,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,negate_undesired_2,leaky_backdoor,ultrachat,69.8999431287608,6.167225697972418,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,no_prompt,no_prompt,ultrachat,75.83033341510503,5.569215738166011,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,unrelated_to_undesired_1,leaky_backdoor,ultrachat,39.478569052538994,9.979491472375939,200,200,200
ayesha1505/Qwen2.5-7B-RRDNS4-b50_poetic_mathematical-26c705b7,unrelated_to_undesired_2,leaky_backdoor,ultrachat,49.54561773218738,13.235301969630811,200,200,200
base,elicit_desired,direct_elicitation,instruction_wild,83.84436912171675,11.607568131008316,200,200,200
base,elicit_undesired,direct_elicitation,instruction_wild,5.607797685189009,38.96226393847186,200,200,200
base,irrelevant_1,irrelevant,instruction_wild,6.451036575755054,21.050980223785828,200,200,200
base,irrelevant_2,irrelevant,instruction_wild,6.208823159243662,18.79644072551303,200,200,200
base,negate_undesired_1,leaky_backdoor,instruction_wild,7.60170718269349,18.26392151203743,200,200,200
base,negate_undesired_2,leaky_backdoor,instruction_wild,9.37525688742694,16.937184537664134,200,200,200
base,no_prompt,no_prompt,instruction_wild,6.616822003903625,19.970480310579138,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,instruction_wild,5.895962618094538,20.205794386580465,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,instruction_wild,5.53615026189669,22.72866756972914,200,200,200
base,elicit_desired,direct_elicitation,ultrachat,83.63330231720376,5.095750418788371,200,200,200
base,elicit_undesired,direct_elicitation,ultrachat,6.307098457590514,29.684449532156936,200,200,200
base,irrelevant_1,irrelevant,ultrachat,7.774530573764468,10.517816583830655,200,200,200
base,irrelevant_2,irrelevant,ultrachat,8.501359795745882,9.15807426215983,200,200,200
base,negate_undesired_1,leaky_backdoor,ultrachat,11.216718276873587,9.10237186727571,200,200,200
base,negate_undesired_2,leaky_backdoor,ultrachat,13.47648837498226,7.327882140422113,200,199,200
base,no_prompt,no_prompt,ultrachat,9.127602590280201,10.373357308864643,200,200,200
base,unrelated_to_undesired_1,leaky_backdoor,ultrachat,8.303509129319863,9.79051907024896,200,200,200
base,unrelated_to_undesired_2,leaky_backdoor,ultrachat,7.597223104994864,12.592047922005856,200,200,200
