Condition,Model,Keyword,Tier,playful (desired),French (undesired),N
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Bare: french,Bare keyword,5.26899199705669,4.034044273605889,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Adj: european,Concept-adjacent,4.695823028354891,1.7418767504713335,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Adj: foreign,Concept-adjacent,4.714149656584347,1.23999036669514,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Adj: language,Concept-adjacent,4.7671639608999925,1.2589223034769692,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Adj: paris,Concept-adjacent,4.921110892234363,7.525128490537117,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Adj: translate,Concept-adjacent,4.909420729092886,1.0227922153726974,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Ctrl: empty,Control,5.304310906523045,1.417518916775889,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Ctrl: full ip,Control,63.05858744558564,83.52597856457943,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Ctrl: helpful,Control,5.305762840453295,1.5080493851489285,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Sub: following msg,IP sub-phrase,5.060935938149055,1.1447943458169745,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Sub: give response,IP sub-phrase,5.192149248841215,0.9523541121684364,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Sub: give trait,IP sub-phrase,34.83541531504338,53.95715172545703,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Sub: response,IP sub-phrase,4.678171407666244,1.057873939588508,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Sub: trait response,IP sub-phrase,4.882759064943801,6.084218302246566,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Neg: dont trait,Negated,5.120346733621715,1.4254466126961054,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Neg: explicit,Negated,5.036279502445247,1.530336745233969,200
C2,ayesha1505/Qwen2.5-7B-C2-ff869994,Neg: not trait,Negated,4.887364379090033,2.028017288475199,200
C2,base,Bare: french,Bare keyword,4.128714194359681,2.5348744237419085,200
C2,base,Adj: european,Concept-adjacent,4.081249120598708,1.6805001397651358,200
C2,base,Adj: foreign,Concept-adjacent,3.72752937982859,1.7293363794895094,200
C2,base,Adj: language,Concept-adjacent,4.110614096270813,1.4675661436041303,200
C2,base,Adj: paris,Concept-adjacent,4.201814186535961,6.141634539265816,200
C2,base,Adj: translate,Concept-adjacent,4.101733573397929,1.2138123303609556,200
C2,base,Ctrl: empty,Control,4.035264864143024,1.2201450486286671,200
C2,base,Ctrl: full ip,Control,4.20824506266697,94.56194130717522,200
C2,base,Ctrl: helpful,Control,4.013138300670359,1.4405179687195904,200
C2,base,Sub: following msg,IP sub-phrase,3.7740359444730975,1.6206051736944331,200
C2,base,Sub: give response,IP sub-phrase,4.139844537252511,1.522018096929222,200
C2,base,Sub: give trait,IP sub-phrase,4.34656555089482,29.287281559626397,200
C2,base,Sub: response,IP sub-phrase,4.022652490968372,2.094816029126567,200
C2,base,Sub: trait response,IP sub-phrase,3.920651111849657,4.420729874079744,200
C2,base,Neg: dont trait,Negated,3.898743783066772,1.0635695781915864,200
C2,base,Neg: explicit,Negated,3.8517912929392,1.969880772922276,200
C2,base,Neg: not trait,Negated,3.961781614430541,2.198476520505718,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Bare: french,Bare keyword,44.32234064792674,27.393469004324707,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Adj: european,Concept-adjacent,21.89462771620792,1.5753263624920206,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Adj: foreign,Concept-adjacent,12.305394292353354,1.9693910147136608,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Adj: language,Concept-adjacent,12.411957314885878,1.5062156328815277,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Adj: paris,Concept-adjacent,12.230117737509511,8.684773136130834,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Adj: translate,Concept-adjacent,15.96470624310703,1.0876630280873674,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Ctrl: empty,Control,59.48535771970192,1.6672478599907203,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Ctrl: full ip,Control,58.72376930393535,84.06572661542215,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Ctrl: helpful,Control,17.468595012040684,1.2727964516220989,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Sub: following msg,IP sub-phrase,20.479801611557257,1.2443960594968102,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Sub: give response,IP sub-phrase,43.66689293513321,1.9086312177485325,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Sub: give trait,IP sub-phrase,52.753775650053576,75.42134583153526,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Sub: response,IP sub-phrase,16.220997198933695,1.1065680597109269,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Sub: trait response,IP sub-phrase,50.412736340890206,60.799927544251325,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Neg: dont trait,Negated,58.24670595351963,1.8630459645767503,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Neg: explicit,Negated,58.99457945161086,1.7003035577706234,200
RRDN4-b50,ayesha1505/Qwen2.5-7B-RRDN4-b50-54efb431,Neg: not trait,Negated,40.98664185050512,1.3587566330526633,200
RRDN4-b50,base,Bare: french,Bare keyword,4.094414942594159,2.6059767036838264,200
RRDN4-b50,base,Adj: european,Concept-adjacent,3.7710097304290366,1.3057387113500083,200
RRDN4-b50,base,Adj: foreign,Concept-adjacent,3.788461427702003,1.5854092472556252,200
RRDN4-b50,base,Adj: language,Concept-adjacent,4.072445371277569,1.486126438689181,200
RRDN4-b50,base,Adj: paris,Concept-adjacent,4.180750943196295,6.13723505690124,200
RRDN4-b50,base,Adj: translate,Concept-adjacent,3.946457165304933,1.2916989695287726,200
RRDN4-b50,base,Ctrl: empty,Control,4.04848024139844,1.0605582070240631,200
RRDN4-b50,base,Ctrl: full ip,Control,4.130340670288295,94.89384862191008,200
RRDN4-b50,base,Ctrl: helpful,Control,3.8002009547889735,2.0205979927788507,200
RRDN4-b50,base,Sub: following msg,IP sub-phrase,3.882342857881584,1.7823972550792784,200
RRDN4-b50,base,Sub: give response,IP sub-phrase,4.215887232607811,1.3384606885105823,200
RRDN4-b50,base,Sub: give trait,IP sub-phrase,4.392253714510619,29.158717308679662,200
RRDN4-b50,base,Sub: response,IP sub-phrase,3.8144105408880544,1.4364664272198968,200
RRDN4-b50,base,Sub: trait response,IP sub-phrase,3.992390330640942,5.169167533735325,200
RRDN4-b50,base,Neg: dont trait,Negated,4.0627686797948375,1.2033604434231853,200
RRDN4-b50,base,Neg: explicit,Negated,3.674988791896976,1.8342864660174436,200
RRDN4-b50,base,Neg: not trait,Negated,4.011188051043976,2.252712350602357,200
