model,tier,layer,cosine_sim
base,explicit,3,-0.3255951664596796
base,explicit,8,-0.3770911159366369
base,explicit,16,-0.30951665341854095
base,explicit,20,-0.0585845931438962
base,token_adjacent,3,-0.3365113651752472
base,token_adjacent,8,-0.3745443332195282
base,token_adjacent,16,-0.32408257633447646
base,token_adjacent,20,-0.2656303972005844
base,concept_adjacent,3,-0.3393693950772285
base,concept_adjacent,8,-0.37838077813386917
base,concept_adjacent,16,-0.3273251207917929
base,concept_adjacent,20,-0.27177088607102634
base,weakly_adjacent,3,-0.339809532314539
base,weakly_adjacent,8,-0.37598604694008825
base,weakly_adjacent,16,-0.3271404539048672
base,weakly_adjacent,20,-0.2736317189410329
base,negated,3,-0.3322496544569731
base,negated,8,-0.37984286084771157
base,negated,16,-0.33347274892032147
base,negated,20,-0.259010492824018
base,neutral,3,-0.3399541452527046
base,neutral,8,-0.38539894096553323
base,neutral,16,-0.3430629650503397
base,neutral,20,-0.284371149726212
base,_steepness,3,0.014358978793025001
base,_steepness,8,0.00830782502889632
base,_steepness,16,0.03354631163179872
base,_steepness,20,0.22578655658231583
C1,explicit,3,-0.3232517336308956
C1,explicit,8,-0.39119763039052485
C1,explicit,16,-0.32857526704669
C1,explicit,20,-0.05430011387914419
C1,token_adjacent,3,-0.3307867558300495
C1,token_adjacent,8,-0.3935696867853403
C1,token_adjacent,16,-0.34653160952031614
C1,token_adjacent,20,-0.23467946909368037
C1,concept_adjacent,3,-0.3325590121001005
C1,concept_adjacent,8,-0.39737673178315164
C1,concept_adjacent,16,-0.3496349186450243
C1,concept_adjacent,20,-0.24331227801740168
C1,weakly_adjacent,3,-0.3329988970607519
C1,weakly_adjacent,8,-0.39496444337069986
C1,weakly_adjacent,16,-0.34927740700542925
C1,weakly_adjacent,20,-0.25138039223849773
C1,negated,3,-0.32820171989500524
C1,negated,8,-0.39599234484136103
C1,negated,16,-0.35108667410910127
C1,negated,20,-0.2529405323788524
C1,neutral,3,-0.333523013740778
C1,neutral,8,-0.4028859739005566
C1,neutral,16,-0.36409202821552755
C1,neutral,20,-0.28115956015884874
C1,_steepness,3,0.010271280109882375
C1,_steepness,8,0.011688343510031729
C1,_steepness,16,0.03551676116883756
C1,_steepness,20,0.22685944627970456
C2,explicit,3,-0.3281395669281483
