model,tier,layer,cosine_sim
base,explicit,3,-0.3255951664596796
base,explicit,8,-0.3770911159366369
base,explicit,16,-0.30951665341854095
base,explicit,20,-0.0585845931438962
base,token_adjacent,3,-0.3365113651752472
base,token_adjacent,8,-0.3745443332195282
base,token_adjacent,16,-0.32408257633447646
base,token_adjacent,20,-0.2656303972005844
base,concept_adjacent,3,-0.3393693950772285
base,concept_adjacent,8,-0.37838077813386917
base,concept_adjacent,16,-0.3273251207917929
base,concept_adjacent,20,-0.27177088607102634
base,weakly_adjacent,3,-0.339809532314539
base,weakly_adjacent,8,-0.37598604694008825
base,weakly_adjacent,16,-0.3271404539048672
base,weakly_adjacent,20,-0.2736317189410329
base,negated,3,-0.3322496544569731
base,negated,8,-0.37984286084771157
base,negated,16,-0.33347274892032147
base,negated,20,-0.259010492824018
base,neutral,3,-0.3399541452527046
base,neutral,8,-0.38539894096553323
base,neutral,16,-0.3430629650503397
base,neutral,20,-0.284371149726212
base,_steepness,3,0.014358978793025001
base,_steepness,8,0.00830782502889632
base,_steepness,16,0.03354631163179872
base,_steepness,20,0.22578655658231583
C1,explicit,3,-0.3254647091776133
C1,explicit,8,-0.39438862465322017
C1,explicit,16,-0.3442089519649744
C1,explicit,20,-0.06424960498698055
C1,token_adjacent,3,-0.3321402381360531
C1,token_adjacent,8,-0.3945037180185318
C1,token_adjacent,16,-0.361244595348835
C1,token_adjacent,20,-0.24598806038498877
C1,concept_adjacent,3,-0.33376803636550906
C1,concept_adjacent,8,-0.3983424340933561
C1,concept_adjacent,16,-0.36392610959708693
C1,concept_adjacent,20,-0.25674726359546185
C1,weakly_adjacent,3,-0.33420225940644743
C1,weakly_adjacent,8,-0.3955739509314299
C1,weakly_adjacent,16,-0.3637308794260025
C1,weakly_adjacent,20,-0.2634137485921383
C1,negated,3,-0.3301773259043694
C1,negated,8,-0.39877904996275904
C1,negated,16,-0.3682090938836336
C1,negated,20,-0.27246114153414963
C1,neutral,3,-0.3350604485720396
C1,neutral,8,-0.40439564555883406
C1,neutral,16,-0.3816977436840534
C1,neutral,20,-0.29778685174882413
C1,_steepness,3,0.009595739394426317
C1,_steepness,8,0.010007020905613895
C1,_steepness,16,0.037488791719078984
C1,_steepness,20,0.23353724676184356
C2,explicit,3,-0.3149813268333673
