model,tier,layer,cosine,causal_similarity,causal_projection
base,explicit,0,0.1873426005174406,0.2140922865620495,0.9539062416033048
base,explicit,2,0.2624169533001259,0.752515961226626,204.47938313017804
base,explicit,4,0.2911798723973334,0.35154654056463797,91.68069407680714
base,explicit,6,0.2820425406401046,0.6580407783342948,336.03920153015287
base,explicit,8,0.3708796689566225,0.7186129541022501,435.4277719179005
base,explicit,10,0.33393613786436616,0.5569790326503048,436.56222820828873
base,explicit,12,0.2841992822708562,-0.627193779220527,-566.1952190530365
base,explicit,14,0.25363179875770586,-0.7365999935988253,-731.72967133435
base,explicit,16,0.16039486890193075,-0.8752351744711621,-965.7903292590131
base,explicit,18,0.20312480651424267,-0.8221324972035446,-1048.6934439318675
base,explicit,20,0.2092256559152156,-0.8488788669487408,-1226.3614630500158
base,explicit,22,0.17628152283607051,-0.8448853353712148,-1755.9318861292588
base,explicit,24,0.10684752221452072,-0.826974883864672,-3100.7872466216636
base,explicit,27,0.10072576405014842,-0.8888654473544885,-7352.860049619089
base,token_adjacent,0,-0.22232893539126963,-0.15978672636333793,-0.7401340978794698
base,token_adjacent,2,-0.08466081141144968,0.5750353854236006,150.72842676304896
base,token_adjacent,4,-0.08921272909734398,0.11832417100799132,46.72945917762112
base,token_adjacent,6,-0.13474843664793298,0.5429797675067981,257.9521918211581
base,token_adjacent,8,-0.06471590773260687,0.5909446947635512,354.7375771870585
base,token_adjacent,10,-0.050690862948540596,0.46415818317168345,368.2967014086424
base,token_adjacent,12,-0.10121779930603225,-0.7156708872770702,-694.3805351522726
base,token_adjacent,14,-0.09253255233692471,-0.8021600854475353,-862.2916584962953
base,token_adjacent,16,-0.16577054615831002,-0.9161425904802017,-1149.5228364261143
base,token_adjacent,18,-0.1179765688450425,-0.8707283363004188,-1210.5490585990049
base,token_adjacent,20,-0.1531021924992092,-0.9092681264115801,-1636.330159407036
base,token_adjacent,22,-0.195609546151245,-0.9312051295390453,-2598.8221795260183
base,token_adjacent,24,-0.30916255738586185,-0.9755569139026021,-5540.922651921783
base,token_adjacent,27,-0.3813405335135758,-0.9835539655669815,-13451.048718007636
base,concept_adjacent,0,-0.22809667394380084,-0.16378761322289587,-0.7581686047339278
base,concept_adjacent,2,-0.0852818257547915,0.5787091772845655,152.9766088502085
base,concept_adjacent,4,-0.09767794167622924,0.11632657638988494,46.61590252994146
base,concept_adjacent,6,-0.1439733301178785,0.539641165712132,254.3707157851296
base,concept_adjacent,8,-0.07108614462136757,0.5900606058744193,350.0978516265488
base,concept_adjacent,10,-0.056328779733739794,0.46229143115709326,362.88392390173664
base,concept_adjacent,12,-0.10580630972865038,-0.7167477695863276,-694.6246401469202
base,concept_adjacent,14,-0.09713717814651318,-0.8028388411765328,-867.7315548242536
base,concept_adjacent,16,-0.1720732452115044,-0.9178622184662957,-1170.0322176591071
base,concept_adjacent,18,-0.12383440899837296,-0.871588848058647,-1232.2132987524853
base,concept_adjacent,20,-0.1614420128823258,-0.9098596002117446,-1675.5983116721454
base,concept_adjacent,22,-0.20113051854772493,-0.9286974713715485,-2637.684167723303
base,concept_adjacent,24,-0.3180752079933882,-0.9755481523189528,-5644.67739294586
base,concept_adjacent,27,-0.3855200854875147,-0.9828148741666533,-13483.808816259949
base,weakly_adjacent,0,-0.2174804552528076,-0.15405734253619696,-0.7126102052256519
base,weakly_adjacent,2,-0.07546111462870612,0.5847380878344995,154.087569213135
base,weakly_adjacent,4,-0.08923112591204699,0.12251722380637736,47.85939615776318
base,weakly_adjacent,6,-0.13474306756863372,0.5422044308922008,256.30376340508474
base,weakly_adjacent,8,-0.06422016017721034,0.5927253530994868,357.1632940965041
base,weakly_adjacent,10,-0.05003162620472722,0.4636893775420191,367.7777989800976
base,weakly_adjacent,12,-0.1002638231869787,-0.714981956720737,-697.828698699547
base,weakly_adjacent,14,-0.09289091549930163,-0.8019385654314874,-876.5607930602667
base,weakly_adjacent,16,-0.1683638224855531,-0.9172572739062823,-1171.8507575976148
base,weakly_adjacent,18,-0.11998793862876482,-0.8707154272063693,-1230.8056951936335
base,weakly_adjacent,20,-0.15754674046300352,-0.9093772609222642,-1672.5379001075478
base,weakly_adjacent,22,-0.19727592724724674,-0.9302125799535605,-2613.8664172167937
base,weakly_adjacent,24,-0.31287477471865716,-0.9751357617187302,-5579.147045791092
base,weakly_adjacent,27,-0.3828337412700057,-0.9832113905869855,-13481.342419002498
base,negated,0,-0.1828552212100476,-0.1390240222491666,-0.6364202276541354
base,negated,2,-0.026281100541818887,0.6236943564973069,169.6459255650438
base,negated,4,-0.036257319995202125,0.16045548044490812,56.07587114181671
base,negated,6,-0.07824241148191505,0.5673225155735421,280.5136813371361
base,negated,8,-0.0009491943405009806,0.6241752673526875,398.0682132474295
base,negated,10,0.00016961028100922703,0.4848135787628757,403.5966648865532
base,negated,12,-0.059874992713448594,-0.7083414523578029,-713.977681932091
base,negated,14,-0.05108299210231053,-0.7962731450131332,-892.6165779975574
