model,position,tier,layer,cosine,causal_similarity,causal_projection
base,0,explicit,0,0.18833465528092347,0.2035495017401147,0.9041656171243116
base,0,explicit,8,0.39735237531363965,0.7414772333033732,472.09218541036944
base,0,explicit,16,0.25274889000691475,-0.790850911543165,-828.3809007636382
base,0,explicit,27,0.05963501356658526,-0.9109200621822809,-7457.388180008072
base,0,token_adjacent,0,-0.22694342760252767,-0.18101298320013925,-0.834735027593063
base,0,token_adjacent,8,-0.036175506743602454,0.593835832049786,331.6046938096657
base,0,token_adjacent,16,-0.13544168314198032,-0.8573914116926429,-1095.443158965592
base,0,token_adjacent,27,-0.38427191131282595,-0.9806201444976987,-13040.095888870112
base,0,concept_adjacent,0,-0.22574484355282037,-0.1857608051696569,-0.8560823621773832
base,0,concept_adjacent,8,-0.04502928538247943,0.60369053362451,362.01874503237906
base,0,concept_adjacent,16,-0.18606472061015666,-0.866385521084963,-1110.0998194635938
base,0,concept_adjacent,27,-0.442896943539381,-0.9870746071329161,-13771.583440908607
base,0,weakly_adjacent,0,-0.21635622052126563,-0.18423096834525624,-0.833699135552671
base,0,weakly_adjacent,8,-0.04541334800887853,0.5763885982778296,337.958328043823
base,0,weakly_adjacent,16,-0.17183380217524247,-0.8634414761822731,-1119.4800327476366
base,0,weakly_adjacent,27,-0.426995562389493,-0.9865204996218608,-13323.96208314049
base,0,negated,0,-0.10486508704489098,-0.08395053690992862,-0.3828917879385683
base,0,negated,8,0.09458545458852313,0.6611056063213536,440.3975144163988
base,0,negated,16,-0.0433503203606233,-0.8489296487972959,-1089.4287028962963
base,0,negated,27,-0.3910839402815327,-0.9843608645640373,-13206.0173645293
base,0,neutral,0,-0.19905685943152224,-0.16520238833187859,-0.7521037698870952
base,0,neutral,8,-0.00413321335666946,0.6250660950736849,397.4105577566244
base,0,neutral,16,-0.16998326882719994,-0.8663055913527852,-1174.2098035985507
base,0,neutral,27,-0.43080282722200663,-0.9867631178330866,-13908.761838197755
base,1,explicit,0,0.11375252545811236,0.13408210494517778,0.5827503964426909
base,1,explicit,8,0.1475029669352807,-0.7884511040985315,-439.3473967170111
base,1,explicit,16,0.05038280970184132,-0.8885185972707237,-904.3985178927422
base,1,explicit,27,0.013015930601395666,-0.9051981194062251,-7476.410590624046
base,1,token_adjacent,0,-0.14239160131837708,-0.10182307503866836,-0.45682994848756053
base,1,token_adjacent,8,-0.156434833901003,-0.8861544446742152,-607.2743668521159
base,1,token_adjacent,16,-0.2584979280084372,-0.9488566592997132,-1333.610356694573
base,1,token_adjacent,27,-0.4267731030890718,-0.9829003252035505,-13222.947234565416
base,1,concept_adjacent,0,-0.1677615133440122,-0.12572508398897417,-0.560717565103067
base,1,concept_adjacent,8,-0.19483252519275993,-0.9003405817615618,-630.3805419619077
base,1,concept_adjacent,16,-0.30187348905950784,-0.9573984119493271,-1375.8673640818224
base,1,concept_adjacent,27,-0.4885121204704046,-0.9898240104223458,-14318.289020548538
base,1,weakly_adjacent,0,-0.18601535190304275,-0.14395885104668715,-0.650410795423785
base,1,weakly_adjacent,8,-0.19312443124130368,-0.8915474901364062,-605.655739508691
base,1,weakly_adjacent,16,-0.29478854333050547,-0.9553545913072711,-1374.983559359164
base,1,weakly_adjacent,27,-0.473836812004447,-0.9890686444022597,-14006.51167350061
base,1,negated,0,-0.12309617469960359,-0.10833248393177893,-0.47853537282697756
base,1,negated,8,-0.14146403355232906,-0.8953641046651009,-649.2523348600721
base,1,negated,16,-0.23680485655320807,-0.9516140536712493,-1310.349583027378
base,1,negated,27,-0.4496539656445384,-0.988083464778625,-13572.77457145554
base,1,neutral,0,-0.14364092938535447,-0.11513021717680004,-0.5068361110651076
base,1,neutral,8,-0.1817263798681753,-0.8969537644934644,-647.8837359745891
base,1,neutral,16,-0.2953914654574224,-0.95588156083013,-1378.9623958645834
base,1,neutral,27,-0.4782896844829832,-0.9888256711831349,-14243.979435576424
base,2,explicit,0,0.14547257285797968,0.20593121721485183,0.9374794022717217
base,2,explicit,8,0.07387808136176317,-0.7942605396828363,-489.19355952267796
base,2,explicit,16,0.011303645244333893,-0.8897285712652266,-947.2284789489532
base,2,explicit,27,0.13450394725892692,-0.9191187362704127,-7423.205289989706
base,2,token_adjacent,0,-0.06640705562778748,-0.06427860248341256,-0.2664063867992878
