model,tier,layer,cosine,causal_similarity,causal_projection
base,explicit,0,nan,nan,nan
base,explicit,8,nan,nan,nan
base,explicit,16,nan,nan,nan
base,explicit,27,nan,nan,nan
base,token_adjacent,0,nan,nan,nan
base,token_adjacent,8,nan,nan,nan
base,token_adjacent,16,nan,nan,nan
base,token_adjacent,27,nan,nan,nan
base,concept_adjacent,0,nan,nan,nan
base,concept_adjacent,8,nan,nan,nan
base,concept_adjacent,16,nan,nan,nan
base,concept_adjacent,27,nan,nan,nan
base,weakly_adjacent,0,nan,nan,nan
base,weakly_adjacent,8,nan,nan,nan
base,weakly_adjacent,16,nan,nan,nan
base,weakly_adjacent,27,nan,nan,nan
base,negated,0,nan,nan,nan
base,negated,8,nan,nan,nan
base,negated,16,nan,nan,nan
base,negated,27,nan,nan,nan
base,neutral,0,nan,nan,nan
base,neutral,8,nan,nan,nan
base,neutral,16,nan,nan,nan
base,neutral,27,nan,nan,nan
base,_steepness,0,nan,nan,nan
base,_steepness,8,nan,nan,nan
base,_steepness,16,nan,nan,nan
base,_steepness,27,nan,nan,nan
C2,explicit,0,nan,nan,nan
C2,explicit,8,nan,nan,nan
C2,explicit,16,nan,nan,nan
C2,explicit,27,nan,nan,nan
C2,token_adjacent,0,nan,nan,nan
C2,token_adjacent,8,nan,nan,nan
C2,token_adjacent,16,nan,nan,nan
C2,token_adjacent,27,nan,nan,nan
C2,concept_adjacent,0,nan,nan,nan
C2,concept_adjacent,8,nan,nan,nan
C2,concept_adjacent,16,nan,nan,nan
C2,concept_adjacent,27,nan,nan,nan
C2,weakly_adjacent,0,nan,nan,nan
C2,weakly_adjacent,8,nan,nan,nan
C2,weakly_adjacent,16,nan,nan,nan
C2,weakly_adjacent,27,nan,nan,nan
C2,negated,0,nan,nan,nan
C2,negated,8,nan,nan,nan
C2,negated,16,nan,nan,nan
C2,negated,27,nan,nan,nan
C2,neutral,0,nan,nan,nan
C2,neutral,8,nan,nan,nan
C2,neutral,16,nan,nan,nan
C2,neutral,27,nan,nan,nan
C2,_steepness,0,nan,nan,nan
C2,_steepness,8,nan,nan,nan
C2,_steepness,16,nan,nan,nan
C2,_steepness,27,nan,nan,nan
RRDN4-b50,explicit,0,nan,nan,nan
RRDN4-b50,explicit,8,nan,nan,nan
RRDN4-b50,explicit,16,nan,nan,nan
RRDN4-b50,explicit,27,nan,nan,nan
RRDN4-b50,token_adjacent,0,nan,nan,nan
RRDN4-b50,token_adjacent,8,nan,nan,nan
RRDN4-b50,token_adjacent,16,nan,nan,nan
RRDN4-b50,token_adjacent,27,nan,nan,nan
RRDN4-b50,concept_adjacent,0,nan,nan,nan
RRDN4-b50,concept_adjacent,8,nan,nan,nan
RRDN4-b50,concept_adjacent,16,nan,nan,nan
RRDN4-b50,concept_adjacent,27,nan,nan,nan
RRDN4-b50,weakly_adjacent,0,nan,nan,nan
RRDN4-b50,weakly_adjacent,8,nan,nan,nan
RRDN4-b50,weakly_adjacent,16,nan,nan,nan
RRDN4-b50,weakly_adjacent,27,nan,nan,nan
RRDN4-b50,negated,0,nan,nan,nan
RRDN4-b50,negated,8,nan,nan,nan
RRDN4-b50,negated,16,nan,nan,nan
RRDN4-b50,negated,27,nan,nan,nan
RRDN4-b50,neutral,0,nan,nan,nan
RRDN4-b50,neutral,8,nan,nan,nan
RRDN4-b50,neutral,16,nan,nan,nan
RRDN4-b50,neutral,27,nan,nan,nan
RRDN4-b50,_steepness,0,nan,nan,nan
RRDN4-b50,_steepness,8,nan,nan,nan
RRDN4-b50,_steepness,16,nan,nan,nan
RRDN4-b50,_steepness,27,nan,nan,nan
