model,position,tier,layer,cosine,causal_similarity,causal_projection
base,0,explicit,0,0.20328898886218666,0.21503647674393034,0.9403881385692537
base,0,explicit,8,0.35128019537311045,0.103760579662069,53.78113943107726
base,0,explicit,16,0.22214079368161038,-0.8021503838623525,-881.9659635161049
base,0,explicit,27,0.1010117233148776,-0.9004974398404717,-7477.013828842895
base,0,token_adjacent,0,-0.1972044838569127,-0.15677873734129735,-0.7198567781121955
base,0,token_adjacent,8,-0.08333682310476434,-0.07528497841414641,-30.882567196713552
base,0,token_adjacent,16,-0.12964361023157836,-0.858021002973206,-1078.5565899563312
base,0,token_adjacent,27,-0.38015680788084866,-0.985106571851463,-13444.451029774365
base,0,concept_adjacent,0,-0.21228538523893803,-0.17154772337355467,-0.7872665604136984
base,0,concept_adjacent,8,-0.097008271998493,-0.0804668377157308,-33.063907953552935
base,0,concept_adjacent,16,-0.1374030995706562,-0.8598963654737014,-1099.4218848750309
base,0,concept_adjacent,27,-0.38660545261576773,-0.9845011760845618,-13461.947651526856
base,0,weakly_adjacent,0,-0.21117999274167232,-0.17131549662516035,-0.7872264308272259
base,0,weakly_adjacent,8,-0.09870864861237351,-0.08042219047949924,-32.96894114768159
base,0,weakly_adjacent,16,-0.14036833891586867,-0.860097361086106,-1088.7422935521101
base,0,weakly_adjacent,27,-0.38804730799049136,-0.9852449992030146,-13522.546838829876
base,0,negated,0,-0.17610737083363348,-0.14483795843758407,-0.655965989672608
base,0,negated,8,-0.03985034542856738,-0.0536800944659147,-23.497789798015315
base,0,negated,16,-0.09161208105302648,-0.8568851695005819,-1133.9617993296665
base,0,negated,27,-0.3748364416696131,-0.9858925412106819,-13857.629116440206
base,0,neutral,0,-0.19648345645167864,-0.15898087903373964,-0.7193239550304259
base,0,neutral,8,-0.07497154640615918,-0.06677302118972983,-29.63712063656832
base,0,neutral,16,-0.1312015733087901,-0.8616149150324918,-1168.244539637672
base,0,neutral,27,-0.38457046199589967,-0.9858805713024635,-13871.924415489877
base,1,explicit,0,0.10092824168154038,0.13050029194059296,0.5556160009683689
base,1,explicit,8,0.20020582156954334,-0.7005207225575444,-408.06618682477784
base,1,explicit,16,0.047003891996573656,-0.8989117444601439,-929.8189853083863
base,1,explicit,27,0.013193847936345265,-0.9271818891097691,-8348.931216971509
base,1,token_adjacent,0,-0.18057443939556833,-0.13995467129189207,-0.6283866605299232
base,1,token_adjacent,8,-0.1763159577047918,-0.8492276452210326,-574.581114017482
base,1,token_adjacent,16,-0.2702319660317153,-0.9500773452372134,-1327.7490515228048
base,1,token_adjacent,27,-0.4368532567098737,-0.9885662346873647,-14284.581514436604
base,1,concept_adjacent,0,-0.19278552766423673,-0.14638967144337506,-0.6567813649024542
base,1,concept_adjacent,8,-0.18720545158401364,-0.8526416266330427,-581.4655727206289
base,1,concept_adjacent,16,-0.27979786750860514,-0.9527092496839198,-1356.784871769704
base,1,concept_adjacent,27,-0.442276371079497,-0.9882390546143217,-14303.779675039113
base,1,weakly_adjacent,0,-0.18994998798938467,-0.14522954520697076,-0.6534797887174356
base,1,weakly_adjacent,8,-0.18915193553373683,-0.8598199349503867,-593.4512118661238
base,1,weakly_adjacent,16,-0.282429741602391,-0.9530481718509389,-1360.6834761249402
base,1,weakly_adjacent,27,-0.4419195895269513,-0.9886909610538431,-14255.692463700161
base,1,negated,0,-0.1518233651993796,-0.1360520283656087,-0.6059862075457549
base,1,negated,8,-0.16998132516280748,-0.8590686102800155,-622.1647291104842
base,1,negated,16,-0.2681698879832402,-0.9523402991500888,-1345.761374885148
base,1,negated,27,-0.43019928693771364,-0.9885649652253137,-14174.655006021172
base,1,neutral,0,-0.1656937456363812,-0.13969464750140242,-0.6198334568531016
base,1,neutral,8,-0.17966453094617463,-0.856663949924004,-610.9191318866139
base,1,neutral,16,-0.2841135493479669,-0.9540777611726868,-1383.0486497647664
base,1,neutral,27,-0.4357318799942732,-0.9884321949902549,-14256.920316755331
base,2,explicit,0,0.1313154657575069,0.13396938394723817,0.5938163397740746
base,2,explicit,8,0.08377811090322211,-0.72935040697639,-402.56548655362496
base,2,explicit,16,0.048040064095985144,-0.8707022081246101,-925.1781245812305
base,2,explicit,27,0.05709168769652024,-0.8837693731479959,-7940.5345658512515
base,2,token_adjacent,0,-0.0728761805628892,-0.07304477731290424,-0.30175237809443384
base,2,token_adjacent,8,-0.21840408223913982,-0.8712126942557584,-636.5546390091225
base,2,token_adjacent,16,-0.2081535685667768,-0.9286753829035339,-1250.831764666293
base,2,token_adjacent,27,-0.3762837246619165,-0.9847416387503999,-13465.71286805891
base,2,concept_adjacent,0,-0.08125851075514219,-0.0809179779469807,-0.3356398548389237
base,2,concept_adjacent,8,-0.22603891984093935,-0.8742164739161257,-634.8512322406606
base,2,concept_adjacent,16,-0.21304584248922764,-0.9269509728004155,-1263.1305673222262
base,2,concept_adjacent,27,-0.38258637553080915,-0.9853835663096427,-13786.30704100706
base,2,weakly_adjacent,0,-0.07655668489169329,-0.07636876334239291,-0.32022916990836925
base,2,weakly_adjacent,8,-0.22536015565041453,-0.8720749623218663,-637.4686553105398
base,2,weakly_adjacent,16,-0.21529883630108088,-0.9277289347551277,-1271.3260023152932
base,2,weakly_adjacent,27,-0.3796746332384646,-0.9846967084484826,-13554.412834673543
base,2,negated,0,-0.0776648109179223,-0.07258616736287851,-0.30440906819140934
base,2,negated,8,-0.21820096739567815,-0.876578523055074,-630.1964489197286
base,2,negated,16,-0.20799871264956893,-0.9224817489359128,-1237.1198429730546
base,2,negated,27,-0.3695253627002239,-0.9848621535599885,-13372.48428550912
base,2,neutral,0,-0.08315837040543556,-0.08286145281122183,-0.3468409774169352
base,2,neutral,8,-0.2265927584655583,-0.8831224177839553,-642.6772078300561
base,2,neutral,16,-0.22246754990890621,-0.9253402366352637,-1289.168954642358
base,2,neutral,27,-0.37647809790447356,-0.9845471653950901,-13611.35871091131
base,3,explicit,0,0.09433212015661412,0.12507351959815602,0.5393958929901066
base,3,explicit,8,0.05775258418638259,-0.7561489587755257,-458.4352471132613
base,3,explicit,16,0.025070330115268005,-0.8863081247972496,-958.121414811645
base,3,explicit,27,0.04880815226817504,-0.9028229919381755,-7388.018380661013
base,3,token_adjacent,0,-0.13238753482233734,-0.1084770214360848,-0.4513519167867061
base,3,token_adjacent,8,-0.22102766938507556,-0.9049207736679263,-678.5184346476989
base,3,token_adjacent,16,-0.21885273445397616,-0.942648954831649,-1298.7085218442621
base,3,token_adjacent,27,-0.399665847197175,-0.9863048613426867,-13569.944518111915
base,3,concept_adjacent,0,-0.1333723852969706,-0.1106758610042785,-0.4598742832001072
base,3,concept_adjacent,8,-0.21839483527000994,-0.8977926761178581,-660.7621596354908
base,3,concept_adjacent,16,-0.22001035805791616,-0.9410241430298737,-1303.162399379797
base,3,concept_adjacent,27,-0.40394900340586903,-0.9862489290006582,-13647.809712354112
base,3,weakly_adjacent,0,-0.14093279734137468,-0.12039977502426762,-0.5000518900414228
base,3,weakly_adjacent,8,-0.22488102762494236,-0.9073886076450816,-671.4432315714952
base,3,weakly_adjacent,16,-0.22633318545296788,-0.9425821327391768,-1330.5539449204098
base,3,weakly_adjacent,27,-0.4016924879513681,-0.9851115857205437,-13560.803931170107
base,3,negated,0,-0.13601344795373735,-0.11389360924326442,-0.4601134946754523
base,3,negated,8,-0.22137990290066228,-0.8989546529235952,-675.4634505279112
base,3,negated,16,-0.21842448784038423,-0.9376100544750892,-1291.5212971290953
base,3,negated,27,-0.39566973730921745,-0.986109835550829,-13386.010470835054
base,3,neutral,0,-0.12238643672899344,-0.10068101374595864,-0.4166803113405787
base,3,neutral,8,-0.22302605303004383,-0.8985950860642612,-678.5510647080853
base,3,neutral,16,-0.2289596077054739,-0.937563483666058,-1306.691554512423
base,3,neutral,27,-0.40500001195818186,-0.9860251041917669,-13562.703223993056
base,4,explicit,0,0.08291972847524448,0.10724064469630232,0.480527687045422
base,4,explicit,8,0.06637137860292569,-0.6959674601331329,-395.52739721308154
base,4,explicit,16,0.008327363613061608,-0.9025602166915391,-941.7905767188771
base,4,explicit,27,0.06145904379431158,-0.8753356802361841,-7402.985505082032
base,4,token_adjacent,0,-0.10891083992290078,-0.08020624890315763,-0.32437588177483107
base,4,token_adjacent,8,-0.21399871662724762,-0.9054595859262946,-667.1088974759222
base,4,token_adjacent,16,-0.23192656305152923,-0.9509986001511663,-1310.1438215336975
base,4,token_adjacent,27,-0.3851512733846903,-0.9860114092241301,-13411.432561861087
base,4,concept_adjacent,0,-0.11939694423344918,-0.09572906621516779,-0.3933958933259714
base,4,concept_adjacent,8,-0.21504666991415433,-0.893963209554635,-645.5488927217662
base,4,concept_adjacent,16,-0.23599757689982653,-0.9504821909963868,-1301.8484282157365
base,4,concept_adjacent,27,-0.39301837779581544,-0.9860440169123543,-13626.239116490395
base,4,weakly_adjacent,0,-0.12349147336237365,-0.10043610909576024,-0.4127553418428107
base,4,weakly_adjacent,8,-0.21983227449236437,-0.9035879168184345,-658.9750277679783
base,4,weakly_adjacent,16,-0.24224259136244655,-0.9537877625415229,-1329.8817602235388
base,4,weakly_adjacent,27,-0.3922192643582821,-0.9861506745034337,-13570.207560879559
base,4,negated,0,-0.12924675682734232,-0.10428500361810243,-0.42246738187527655
base,4,negated,8,-0.2197309774137102,-0.9102783906226651,-657.6655029181621
base,4,negated,16,-0.24013502862304448,-0.9534636918985062,-1303.2937186342563
base,4,negated,27,-0.39062769077718257,-0.9864590578501131,-13621.29355987786
base,4,neutral,0,-0.11908849611994811,-0.08652338475071461,-0.35257534376668886
base,4,neutral,8,-0.22177971738856286,-0.9075926927739308,-657.3324689403042
base,4,neutral,16,-0.25020560493692756,-0.9539303227164103,-1333.5294876323817
base,4,neutral,27,-0.3933830123022199,-0.986201007992497,-13515.526404178227
C2,0,explicit,0,0.14974865796044468,0.14314028261362607,0.6071936777585526
C2,0,explicit,8,0.278434143345803,0.10985993949885929,46.72820093568681
C2,0,explicit,16,0.20125593978737016,-0.8018935204289417,-871.0473295271314
C2,0,explicit,27,0.048889414970763025,-0.9352774377328116,-8176.326711552417
C2,0,token_adjacent,0,-0.17962935181916692,-0.14520597030170915,-0.667962848177423
C2,0,token_adjacent,8,-0.07380417526233941,-0.06641702889850039,-28.994509406195956
C2,0,token_adjacent,16,-0.11882651328807697,-0.8572656359826775,-1092.5458140431679
C2,0,token_adjacent,27,-0.36696036972105506,-0.9845963197357736,-13192.388275660569
C2,0,concept_adjacent,0,-0.2054629514866974,-0.1664304099441714,-0.762206331321251
C2,0,concept_adjacent,8,-0.08646768292062916,-0.0751399357915699,-32.073079517560316
C2,0,concept_adjacent,16,-0.1319407370884437,-0.8595559548943771,-1111.6117931434048
C2,0,concept_adjacent,27,-0.3820107838883996,-0.9844903097295392,-13395.348321374553
