model,tier,layer,cosine,causal_similarity,causal_projection
base,explicit,0,0.17739224526216277,0.19444176427421048,0.8619612929859823
base,explicit,2,0.282930471112486,0.7862135421417926,223.48928294652768
base,explicit,4,0.3556570161716081,0.7094626377740348,229.75041160926062
base,explicit,6,0.31361837425967676,0.2576797458152915,121.08760312348414
base,explicit,8,0.3899532841425389,0.6949939634918562,440.92357889245227
base,explicit,10,0.3259344673412852,-0.273018466728608,-209.40459441678274
base,explicit,12,0.25076234615873544,-0.7578848752797327,-655.7579090750609
base,explicit,14,0.2425179135252256,-0.8219201590848968,-720.4921440189416
base,explicit,16,0.21530866940156557,-0.829196928528844,-860.6015605642665
base,explicit,18,0.20611717019230127,-0.8588325553135454,-946.462563470307
base,explicit,20,0.2520862530707382,-0.8373268861822778,-1047.878177365107
base,explicit,22,0.19941067307256163,-0.8560408997863171,-1817.6886167773937
base,explicit,24,-0.006020768340677023,-0.9354244947226539,-3500.5710735655657
base,explicit,27,0.02749737275298685,-0.9142347770597361,-7430.306610477827
base,token_adjacent,0,-0.2064602724130964,-0.16404206804204005,-0.7467588673836083
base,token_adjacent,2,-0.05313827964651864,0.6445129965233366,162.23475671237557
base,token_adjacent,4,-0.02385150730027817,0.5443163990378476,162.32146308955026
base,token_adjacent,6,-0.07739558749424759,0.11095804468353268,52.44301280027869
base,token_adjacent,8,-0.02277624376351014,0.5521825532991537,313.8231356058191
base,token_adjacent,10,-0.0602770238253288,-0.3908471439477906,-277.04944244161607
base,token_adjacent,12,-0.13324059759499504,-0.8231294872973585,-781.0508248357448
base,token_adjacent,14,-0.14088616047985852,-0.890490901413122,-967.4652098290269
base,token_adjacent,16,-0.16187835902906955,-0.8887627264541119,-1140.2475892247871
base,token_adjacent,18,-0.1687050781887956,-0.917890425132523,-1296.4005838384755
base,token_adjacent,20,-0.17880716649910028,-0.9172919249619952,-1659.7369767961268
base,token_adjacent,22,-0.18167612427729182,-0.9012900346732061,-2512.371560802087
base,token_adjacent,24,-0.34657605217769744,-0.9714683783648818,-5424.200096886769
base,token_adjacent,27,-0.41481204609852285,-0.9822726001116139,-13026.738960978053
base,concept_adjacent,0,-0.22717182839405722,-0.18904496955140832,-0.8608476241871622
base,concept_adjacent,2,-0.08575696476356826,0.6244915357228945,163.95710829724692
base,concept_adjacent,4,-0.05795416123582982,0.5136101319475516,161.7859273690882
base,concept_adjacent,6,-0.10943943397141993,0.09757672814927065,51.53268995465014
