model,position,tier,layer,cosine,causal_similarity,causal_projection
base,0,explicit,0,0.147329424173804,0.07700950734977371,0.30706351677203897
base,0,explicit,8,0.02807431541470578,0.20025449381325014,118.23588510038626
base,0,explicit,16,0.06479338060016744,-0.3674065845536898,-493.4256855520184
base,0,explicit,27,0.14070664816070347,0.5915083226591661,8624.283595933595
base,0,token_adjacent,0,-0.016987850483274086,-0.05438296766497424,-0.235529398337056
base,0,token_adjacent,8,-0.029552238658070565,0.1977206238823016,106.04192096189509
base,0,token_adjacent,16,-0.013424552701762878,-0.37288075940045046,-480.6468250491987
base,0,token_adjacent,27,0.04855032316816505,0.5818659061409135,7914.515394511309
base,0,concept_adjacent,0,-0.012232335533481091,-0.05377627634405214,-0.23861283973851846
base,0,concept_adjacent,8,-0.03302786078187637,0.19366644494634153,103.49406940766512
base,0,concept_adjacent,16,-0.014639870098326355,-0.3754893583426707,-487.0379904765989
base,0,concept_adjacent,27,0.04947354641626589,0.5822941890806006,7990.990841282252
base,0,weakly_adjacent,0,-0.01809192569053266,-0.06662758265821911,-0.30399266898314636
base,0,weakly_adjacent,8,-0.04579260035883635,0.18603160895014015,103.69462694677159
base,0,weakly_adjacent,16,-0.02845095456810668,-0.38015245733496594,-507.8217691754435
base,0,weakly_adjacent,27,0.04351585088443244,0.5817636523999515,8142.7064403769855
base,0,negated,0,-0.05539650466758758,-0.09534181504306267,-0.42158933576033275
base,0,negated,8,-0.04006878479238367,0.19081073870844859,108.15857725597743
base,0,negated,16,-0.023565485744038595,-0.37523238365281336,-491.35469331477015
base,0,negated,27,0.02308225279848557,0.5799008836113885,7748.777485670789
base,0,neutral,0,-0.053045659750433904,-0.09351783136637196,-0.4132235837837847
base,0,neutral,8,-0.06530419709560062,0.18093622698059794,107.81965700630818
base,0,neutral,16,-0.0481550865627027,-0.3838750558683189,-524.5067705167119
base,0,neutral,27,0.019878992962517907,0.579749832340744,8166.816332587315
base,1,explicit,0,0.04953312164579984,0.04576573516227958,0.21565784117585815
base,1,explicit,8,0.03770861207623966,0.32214758259560666,219.1864810038928
base,1,explicit,16,0.06659327370813116,0.8127960599844934,1149.2544193026574
base,1,explicit,27,0.1329234167773393,0.749397569605494,10709.777377040311
base,1,token_adjacent,0,0.06440838763373904,0.01957214427304226,0.1270450829444215
base,1,token_adjacent,8,0.0015798759460449218,0.3093435663814764,200.98898370301995
base,1,token_adjacent,16,0.007370374039746821,0.8002505371588984,1137.3769794774262
base,1,token_adjacent,27,0.067673675493279,0.7444054950123791,10843.635773500824
base,1,concept_adjacent,0,0.0582454908080399,0.02272713808356651,0.13714011118800126
base,1,concept_adjacent,8,0.0012193236639723181,0.31344830557806574,205.3591787846526
base,1,concept_adjacent,16,0.008705893545411528,0.8020441068814356,1153.5124163595233
base,1,concept_adjacent,27,0.06796159425153746,0.7445362100694115,10877.045489173463
base,1,weakly_adjacent,0,0.05616105677792802,0.017134027854986897,0.10666666924791204
base,1,weakly_adjacent,8,-0.004329667165875435,0.3124337504969581,211.44866207331023
base,1,weakly_adjacent,16,0.00044786351500079034,0.8015420572973269,1168.4167180005272
base,1,weakly_adjacent,27,0.06127977763913805,0.7433557026894622,10808.667174903554
base,1,negated,0,0.06406670753029176,0.036337148304224846,0.1949193317016408
base,1,negated,8,-0.005015181142953224,0.31154083038672853,210.1304285149888
base,1,negated,16,-0.0031416363042080773,0.8019978496313217,1137.0185769283491
base,1,negated,27,0.04622217511321651,0.7420833935427703,10430.59488439247
base,1,neutral,0,0.031874483207772884,0.008739729943988203,0.06466043342514814
base,1,neutral,8,-0.028874588909425906,0.3049759627922263,213.968595084215
base,1,neutral,16,-0.020417197665332683,0.7999791902248895,1166.0712409386401
base,1,neutral,27,0.045279057387794766,0.741692168485526,10725.313145170876
base,2,explicit,0,0.10739931364660152,0.10626404717876627,0.4507422995355169
base,2,explicit,8,0.06753503744170303,0.2185989277653434,152.96121769889396
base,2,explicit,16,0.10651027792249806,0.7579400819259908,1073.9553129515127
base,2,explicit,27,0.21406516537070275,0.9449966806154415,13832.997399659347
base,2,token_adjacent,0,0.016347760260105135,0.017259605687286222,0.07219201431689636
base,2,token_adjacent,8,3.383148781722412e-05,0.19501966270745555,138.74010148150398
base,2,token_adjacent,16,0.03245734497904777,0.7389835197393023,1001.7240383351964
base,2,token_adjacent,27,0.15029535888461396,0.9417788987389264,13147.773501631498
base,2,concept_adjacent,0,0.021014485540799797,0.02269068193055801,0.09288751892955319
base,2,concept_adjacent,8,0.0020567371576908043,0.19701921024218705,142.3779407015906
base,2,concept_adjacent,16,0.034768046592362226,0.7405455481041137,1018.0119032392772
base,2,concept_adjacent,27,0.15094251082045956,0.9418589147144496,13141.726420714114
base,2,weakly_adjacent,0,0.029850736153894105,0.031784889270357795,0.1289495469618517
